retention_id,source_migration_ids,appendices,stable_principle_summary,proposed_book_destination,companion_module,status,implementation_gate
SPR-01,APX-P1393; APX-P1404; APX-P1446; APX-P1481,A/B/D/E,"Mandatory, Conditional and Recommended must remain distinct classes; authorial controls must not be represented as institutional obligations.",Front matter; Chapter 9,DC-A; DC-B; DC-D; DC-E,INTEGRATED_IN_BOOK_v3.9.0,CLOSED; re-open only if the book or companion is revised
SPR-02,APX-P1397; APX-P1402; APX-P1415,A/B,The correct route and current authority hierarchy govern consequential action; a remembered or convenient route is insufficient.,Front matter; Chapter 9,DC-A; DC-B,INTEGRATED_IN_BOOK_v3.9.0,CLOSED; re-open only if the book or companion is revised
SPR-03,APX-P1416; APX-P1480,B/E,Conflicting official values must not be averaged or selected for convenience; the action pauses until competent written clarification is obtained.,Front matter; Chapter 9,DC-B; DC-E,INTEGRATED_IN_BOOK_v3.9.0,CLOSED; re-open only if the book or companion is revised
SPR-04,APX-P1398; APX-P1417,A/B,Authority and volatile values must be rechecked immediately before consequential action and the dated basis retained.,Front matter; Chapter 9,DC-A; DC-B,INTEGRATED_IN_BOOK_v3.9.0,CLOSED; re-open only if the book or companion is revised
SPR-05,APX-P1408; APX-P1421,B/C,"Passing a gate requires a controlled object, competent authority, version and retrievable evidence; an interface response alone is not proof.",Chapter 9,DC-B; DC-C,INTEGRATED_IN_BOOK_v3.9.0,CLOSED; re-open only if the book or companion is revised
SPR-06,APX-P1422,C,"The scientific project record, administrative dossier and release record are distinct control systems.",Chapter 9,DC-C,INTEGRATED_IN_BOOK_v3.9.0,CLOSED; re-open only if the book or companion is revised
SPR-07,APX-P1422; APX-P1488; APX-P1490,C/E,"A receipt proves only the state and object it identifies and cannot repair a scientific, version or dossier defect.",Chapter 9,DC-C; DC-E,INTEGRATED_IN_BOOK_v3.9.0,CLOSED; re-open only if the book or companion is revised
SPR-08,APX-P1438,C,"Authoritative, restricted, administrative and release zones require separate access and retention boundaries.",Chapter 5; Chapter 9,DC-C,INTEGRATED_IN_BOOK_v3.9.0,CLOSED; re-open only if the book or companion is revised
SPR-09,APX-P1439; APX-P1468,C/D,"Personal, confidential, licensed, security-sensitive and identity-bearing material must not enter a public repository or unvalidated external system.",Chapter 5; Chapter 8; Chapter 9,DC-C; DC-D,INTEGRATED_IN_BOOK_v3.9.0,CLOSED; re-open only if the book or companion is revised
SPR-10,APX-P1440; APX-P1483,C/E,Every consequential object requires a minimum control tuple and explicit supersession rather than silent overwrite.,Chapter 5; Chapter 8; Chapter 9,DC-C; DC-E,INTEGRATED_IN_BOOK_v3.9.0,CLOSED; re-open only if the book or companion is revised
SPR-11,APX-P1445,D,Generative-AI fluency is neither evidence nor permission; retained outputs remain candidate interventions under human responsibility.,Chapter 1; Chapter 5; Chapter 8,DC-D,INTEGRATED_IN_BOOK_v3.9.0,CLOSED; re-open only if the book or companion is revised
SPR-12,APX-P1450; APX-P1452,D,Permission is decided before use and technical availability or product positioning does not create authorisation.,Chapter 1; Chapter 5,DC-D,INTEGRATED_IN_BOOK_v3.9.0,CLOSED; re-open only if the book or companion is revised
SPR-13,APX-P1447,D,"Consequential use is triggered when an intervention can alter the problem, method, evidence, code, analysis, claim, disclosure or assessed wording.",Chapter 1; Chapter 5; Chapter 8,DC-D,INTEGRATED_IN_BOOK_v3.9.0,CLOSED; re-open only if the book or companion is revised
SPR-14,APX-P1447; APX-P1454,D,TRACE records consequential use but does not create permission or replace an official declaration or other required form.,Chapter 1; Chapter 5; Chapter 8,DC-D,INTEGRATED_IN_BOOK_v3.9.0,CLOSED; re-open only if the book or companion is revised
SPR-15,APX-P1456; APX-P1458; APX-P1460,D,Verification is independent only when decisive evidence can falsify the generated output without depending on model agreement or original wording.,Chapter 5; Chapter 6,DC-D,INTEGRATED_IN_BOOK_v3.9.0,CLOSED; re-open only if the book or companion is revised
SPR-16,APX-P1462; APX-P1464; APX-P1465,D,"TRACE, manuscript disclosure, bibliographic citation and the official declaration have different functions and none silently replaces another.",Chapter 8; Chapter 9,DC-D,INTEGRATED_IN_BOOK_v3.9.0,CLOSED; re-open only if the book or companion is revised
SPR-17,APX-P1445; APX-P1466,D,"A generative system cannot hold authorship, approval or responsibility; human authors remain accountable for all retained material.",Chapter 1; Chapter 8,DC-D,INTEGRATED_IN_BOOK_v3.9.0,CLOSED; re-open only if the book or companion is revised
SPR-18,APX-P1468; APX-P1469,D,Use the minimum necessary input only in an environment authorised for its information class and purpose; redaction or provider labels are not sufficient by themselves.,Chapter 5; Chapter 8,DC-D,INTEGRATED_IN_BOOK_v3.9.0,CLOSED; re-open only if the book or companion is revised
SPR-19,APX-P1474,D,"Unresolved sources, irreproducible calculations, unexplained code, unclear rights, confidentiality incidents or disclosure mismatch reopen the responsible gate.",Chapter 5; Chapter 8; Chapter 9,DC-D,INTEGRATED_IN_BOOK_v3.9.0,CLOSED; re-open only if the book or companion is revised
SPR-20,APX-P1479; APX-P1483; APX-P1484,E,"A checklist tick denotes observed, retrievable evidence, not intention, local file existence or an uncontextualised screenshot.",Chapter 9,DC-E,INTEGRATED_IN_BOOK_v3.9.0,CLOSED; re-open only if the book or companion is revised
SPR-21,APX-P1504; APX-P1508; APX-P1509; APX-P1510,E,Defence readiness concerns one verified assessable record: unresolved scientific choices and non-compensable defects block submission or return to the earliest responsible gate.,Chapter 9,DC-E,INTEGRATED_IN_BOOK_v3.9.0,CLOSED; re-open only if the book or companion is revised
