verification_id,source_id,official_location,source_class,scope_checked,verification_method,finding,operational_status,conflict_id,next_required_action,verified_on
VS-001,S012,https://senat.ase.ro/wp-content/uploads/2026/20260204/Hot.Senat%20nr.%208%20din%2004.02.2026_Mod.Reg.finalizare%20studii%20licenta.pdf,GOVERNING REGULATION,Bachelor’s finalisation regulation identity and 2026 Senate-monitor supersession check,Direct official PDF and Senate-monitor review,Official regulation identity confirmed. No later bachelor’s-finalisation amendment was identified in the inspected 2026 monitor entries; the monitor remains a mandatory content-freeze recheck.,VERIFIED CONTROL BASE; RECHECK MONITOR BEFORE USE,,Recheck the Senate monitor and current faculty route immediately before consequential action.,2026-08-23
VS-002,S010,https://senat.ase.ro/wp-content/uploads/2025/20250924/Hot.Senat%20nr.%20174%20din%2024.09.2025_Reg.finalizare%20studii%20masterat.pdf,GOVERNING REGULATION,Master’s finalisation regulation identity and 2026 Senate-monitor supersession check,Direct official PDF and Senate-monitor review,Official regulation identity confirmed. No later master’s-finalisation amendment was identified in the inspected 2026 monitor entries; the monitor remains a mandatory content-freeze recheck.,VERIFIED CONTROL BASE; RECHECK MONITOR BEFORE USE,,Recheck the Senate monitor and current faculty route immediately before consequential action.,2026-08-23
VS-003,S011,https://senat.ase.ro/wp-content/uploads/2026/20260325/Hot.Senat%20nr.%2038%20din%2025.03.2026_Aprob.ghid%20utiliz.%20instrument.%20IAG.pdf,INSTITUTIONAL GENERATIVE-AI GUIDE,"Approval identity, current guide and declaration controls",Direct official Senate decision/PDF review,ASE guide identity and approval under Senate Decision no. 38 of 25 March 2026 confirmed. The current form and route must still be rechecked.,VERIFIED INSTITUTIONAL CONTROL BASE,,"Use the current declaration and any narrower programme, course, supervisor or examination instruction.",2026-08-23
VS-004,S148,https://csie.ase.ro/student-csie/examen-licenta/,LIVE FACULTY OPERATIONAL PAGE,"Bachelor’s 2026 preparation page, labels and same-day registration cut-off",Direct live-page review and comparison with linked July 2026 notice,"Official location is live, but it retains a stale “current cohort 2025” label and states a 12:00 final-day cut-off whereas the linked July 2026 PDF states 11:00.",OFFICIAL LOCATION VERIFIED; OPERATIONAL VALUE CONFLICT; DO NOT FREEZE,CF-01; CF-04,"For any live action, obtain a current competent clarification and retain it. Do not select either historical value by convenience.",2026-08-23
VS-005,S147,https://csie.ase.ro/student-csie/examen-disertatie/,LIVE FACULTY OPERATIONAL PAGE,"Dissertation 2026 preparation page, labels and same-day registration cut-off",Direct live-page review and comparison with linked June 2026 notice,"Official location is live, but a paragraph retains a July 2024 label and the page states a 14:00 final-day cut-off whereas the linked June 2026 PDF states 12:00.",OFFICIAL LOCATION VERIFIED; OPERATIONAL VALUE CONFLICT; DO NOT FREEZE,CF-02; CF-03,"For any live action, obtain a current competent clarification and retain it. Do not select either historical value by convenience.",2026-08-23
VS-006,S150,https://www.net.ase.ro/antiplagiat/,INSTITUTIONAL TECHNICAL PAGE,"Similarity-upload route, account and cohort distinctions",Direct official web-page review,Official page is accessible and distinguishes current and previous cohorts. It remains tied to 2025–2026 account and calendar conditions.,IDENTITY VERIFIED; VOLATILE OPERATING VALUES REQUIRE RECHECK,,"Recheck account eligibility, upload window, technical route and current calendar before upload.",2026-08-23
VS-007,S151,https://senat.ase.ro/monitor2026/,OFFICIAL SUPERSESSION INDEX,2026 Senate decisions relevant to finalisation and generative AI,Direct official monitor review,Decision no. 8 of 4 February 2026 and decision no. 38 of 25 March 2026 were located in the official monitor.,VERIFIED INDEX; CONTINUOUS RECHECK REQUIRED,,Repeat the monitor check at content freeze and immediately before public release.,2026-08-23
VS-008,S152,https://consilierstudenti.ase.ro/calendarul-studentului-2025-2026/,INSTITUTIONAL CALENDAR PAGE,Calendar identity and academic-year scope,Direct official page review,The page identifies the Student Calendar for academic year 2025–2026 and shows a later page update. It is historical for any 2026–2027 operational action.,VERIFIED HISTORICAL SESSION SOURCE; NOT A FUTURE-SESSION AUTHORITY,,Replace with the applicable current academic-year calendar when released.,2026-08-23
VS-009,S154,https://csie.ase.ro/wp-content/uploads/2026/06/ANUNT-EXAMEN-LICENTA-iulie-2026-GRAFICANUNT-CERERE-ANEXA-1-ANEXA-2-ANGAJABILITATESATISFACTIE-1-2_removed-1.pdf,HISTORICAL FACULTY SESSION PDF,Bachelor’s July 2026 notice and registration cut-off,Official linked PDF review and live-page comparison,Historical July 2026 notice located. Its 11:00 same-day cut-off conflicts with 12:00 on the live page.,HISTORICAL SOURCE; CONFLICT RECORDED; DO NOT CARRY FORWARD,CF-01,Use only as evidence of the historical source state and version-control defect.,2026-08-23
VS-010,S153,https://csie.ase.ro/wp-content/uploads/2026/06/ANUNT-EXAMEN-DIZERTATIE-IUNIE-2026-GRAFICANUNT-ANEXA-1-2-3-3.1-ANGAJABILITATESATISFACTIE-1-2-1-1.pdf,HISTORICAL FACULTY SESSION PDF,Dissertation June 2026 notice and registration cut-off,Official linked PDF review and live-page comparison,Historical June 2026 notice located. Its 12:00 same-day cut-off conflicts with 14:00 on the live page.,HISTORICAL SOURCE; CONFLICT RECORDED; DO NOT CARRY FORWARD,CF-02,Use only as evidence of the historical source state and version-control defect.,2026-08-23
