check_id,registry,record_id,official_url,verified_on,verification_method,result,next_check,reviewer,notes
LINK-I-001,institutional,INST-ASE-001,https://senat.ase.ro/wp-content/uploads/2026/20260204/Hot.Senat%20nr.%208%20din%2004.02.2026_Mod.Reg.finalizare%20studii%20licenta.pdf,2026-08-19,Official source identity opened and checked,verified as current source identity,Before every proposal/submission decision and after any Senate update,Phase 12 audit,Do not copy thresholds into a project without checking applicability.
LINK-I-002,institutional,INST-ASE-002,https://senat.ase.ro/wp-content/uploads/2025/20250924/Hot.Senat%20nr.%20174%20din%2024.09.2025_Reg.finalizare%20studii%20masterat.pdf,2026-08-19,Official source identity opened and checked,verified as current source identity,Before every proposal/submission decision and after any Senate update,Phase 12 audit,Programme and session instructions may add requirements.
LINK-I-003,institutional,INST-ASE-003,https://senat.ase.ro/wp-content/uploads/2026/20260325/Hot.Senat%20nr.%2038%20din%2025.03.2026_Aprob.ghid%20utiliz.%20instrument.%20IAG.pdf,2026-08-19,Official source identity opened and checked,verified as current source identity,Immediately before submission and whenever AI use changes,Phase 12 audit,"TRACE supports, but does not replace, the official declaration."
LINK-I-004,institutional,INST-CSIE-004,https://csie.ase.ro/student-csie/examen-licenta/,2026-08-19,Official source identity opened and checked,verified as current source identity,Immediately before every operational action,Phase 12 audit,Record the exact session and verification date.
LINK-I-005,institutional,INST-CSIE-005,https://csie.ase.ro/student-csie/examen-disertatie/,2026-08-19,Official source identity opened and checked,verified as current source identity,Immediately before every operational action,Phase 12 audit,Record the exact session and verification date.
LINK-I-006,institutional,INST-ASE-006,https://www.net.ase.ro/antiplagiat/,2026-08-19,Official source identity opened and checked,verified as current source identity,Immediately before upload,Phase 12 audit,"A similarity result is diagnostic, not an authorship or integrity verdict."
LINK-I-007,institutional,INST-ASE-007,https://senat.ase.ro/monitor2026/,2026-08-19,Official source identity opened and checked,verified as current source identity,Before using a regulation as current authority,Phase 12 audit,"Use the decision PDF, not only the index entry, as the authoritative object."
LINK-T-001,tool,TOOL-001,https://help.openai.com/en/articles/10500283-deep-research-in-chatgpt,2026-08-19,Official provider documentation or help page checked,verified as current source identity,Before consequential use and at least monthly during an active review,Phase 12 audit,"Availability, connected sources and behaviour may vary by plan, region and product update"
LINK-T-002,tool,TOOL-002,https://openai.com/chatgpt/overview/,2026-08-19,Official provider documentation or help page checked,verified as current source identity,Before consequential use,Phase 12 audit,"Source access, app permissions and capabilities are account-dependent"
LINK-T-003,tool,TOOL-003,https://docs.anthropic.com/en/docs/build-with-claude/tool-use/web-search-tool,2026-08-19,Official provider documentation or help page checked,verified as current source identity,Before consequential use,Phase 12 audit,Citation presence does not establish claim fitness or completeness
LINK-T-004,tool,TOOL-004,https://support.anthropic.com/en/articles/11088861-using-research-on-claude,2026-08-19,Official provider documentation or help page checked,verified as current source identity,Before consequential use,Phase 12 audit,Availability and connected-source scope may vary
