figure_id,author_supplied_filename,author_supplied_sha256,canonical_v4_3_filename,canonical_v4_3_sha256,canonicalisation_action,source_date_received,status
Figure.1.1,Figure_1_1_Evidence_to_Defence_Architecture_v4_1_NATIVE_EDITABLE.odg,2084ca10479f7f8ac2d431bcc8888f4fd366ce38b4c6d316846a9e395d4aded7,Figure_1_1.odg,2084ca10479f7f8ac2d431bcc8888f4fd366ce38b4c6d316846a9e395d4aded7,Renamed to stable chapter-figure identifier; content preserved; promoted as v4.3 author-corrected native authority,2026-08-23,AUTHOR_SOURCE_ACCEPTED; CANONICAL_COPY_RELEASED_CC_BY_4.0; SOURCE_FILENAME_AND_HASH_RETAINED
Figure.1.2,Figure_1_2_Advice_Authority_and_Authorship_Map_v4_1_NATIVE_EDITABLE.odg,3639679d0c26d9188ed5c7f27c0cb62defa279f1110336d07a164879ff069f50,Figure_1_2.odg,3639679d0c26d9188ed5c7f27c0cb62defa279f1110336d07a164879ff069f50,Renamed to stable chapter-figure identifier; content preserved; promoted as v4.3 author-corrected native authority,2026-08-23,AUTHOR_SOURCE_ACCEPTED; CANONICAL_COPY_RELEASED_CC_BY_4.0; SOURCE_FILENAME_AND_HASH_RETAINED
Figure.2.1,Figure_2_1_Topic_Decision_Path_v4_1_NATIVE_EDITABLE.odg,93bc1ade01fb2aaf7da4869a0a3f94892fd795b8995449d43a07ad2e495f0b20,Figure_2_1.odg,93bc1ade01fb2aaf7da4869a0a3f94892fd795b8995449d43a07ad2e495f0b20,Renamed to stable chapter-figure identifier; content preserved; promoted as v4.3 author-corrected native authority,2026-08-23,AUTHOR_SOURCE_ACCEPTED; CANONICAL_COPY_RELEASED_CC_BY_4.0; SOURCE_FILENAME_AND_HASH_RETAINED
Figure.2.2,Figure_2_2_SCOPE_Framing_Canvas_v4_1_NATIVE_EDITABLE.odg,19787ba2d71ecdb9505876f4533f519137e9107f0d0403af0dd0ea59d2700cb2,Figure_2_2.odg,19787ba2d71ecdb9505876f4533f519137e9107f0d0403af0dd0ea59d2700cb2,Renamed to stable chapter-figure identifier; content preserved; promoted as v4.3 author-corrected native authority,2026-08-23,AUTHOR_SOURCE_ACCEPTED; CANONICAL_COPY_RELEASED_CC_BY_4.0; SOURCE_FILENAME_AND_HASH_RETAINED
Figure.3.1,Figure_3_1_Evidence_Identity_Chain_v4_1_NATIVE_EDITABLE.odg,3a2bec0999231c2e70935b57c6ceafbf2cb02bd5d7deabecb623b67c9f3a5ff1,Figure_3_1.odg,3a2bec0999231c2e70935b57c6ceafbf2cb02bd5d7deabecb623b67c9f3a5ff1,Renamed to stable chapter-figure identifier; content preserved; promoted as v4.3 author-corrected native authority,2026-08-23,AUTHOR_SOURCE_ACCEPTED; CANONICAL_COPY_RELEASED_CC_BY_4.0; SOURCE_FILENAME_AND_HASH_RETAINED
Figure.3.2,Figure_3_2_CORPUS_Records_Cycle_v4_1_NATIVE_EDITABLE.odg,1debc8fa1341fc243a05f04ef02c43b0cf09208514cec33c70a375f0b319f1c5,Figure_3_2.odg,1debc8fa1341fc243a05f04ef02c43b0cf09208514cec33c70a375f0b319f1c5,Renamed to stable chapter-figure identifier; content preserved; promoted as v4.3 author-corrected native authority,2026-08-23,AUTHOR_SOURCE_ACCEPTED; CANONICAL_COPY_RELEASED_CC_BY_4.0; SOURCE_FILENAME_AND_HASH_RETAINED
Figure.4.1,Figure_4_1_Reversible_Driver_to_Test_Chain_v4_1_NATIVE_EDITABLE.odg,f7a2f117367d12a9f9915d509848ec935df5221fb2b0ce5377ee7bf1dfc43485,Figure_4_1.odg,f7a2f117367d12a9f9915d509848ec935df5221fb2b0ce5377ee7bf1dfc43485,Renamed to stable chapter-figure identifier; content preserved; promoted as v4.3 author-corrected native authority,2026-08-23,AUTHOR_SOURCE_ACCEPTED; CANONICAL_COPY_RELEASED_CC_BY_4.0; SOURCE_FILENAME_AND_HASH_RETAINED
Figure.4.2,Figure_4_2_DECIDE_Conditional_Commitment_Cycle_v4_1_NATIVE_EDITABLE.odg,52a5284c10cc4eecb3d521842b1145cbc4832cb9cc96f0d43fd2c745c5fd6300,Figure_4_2.odg,52a5284c10cc4eecb3d521842b1145cbc4832cb9cc96f0d43fd2c745c5fd6300,Renamed to stable chapter-figure identifier; content preserved; promoted as v4.3 author-corrected native authority,2026-08-23,AUTHOR_SOURCE_ACCEPTED; CANONICAL_COPY_RELEASED_CC_BY_4.0; SOURCE_FILENAME_AND_HASH_RETAINED
Figure.5.1,Figure_5_1_Candidate_to_Admission_Chain_v4_1_NATIVE_EDITABLE.odg,075810f98585ec3005b8830b736541d6018917e81fbf1e2610110315e6ceab7a,Figure_5_1.odg,075810f98585ec3005b8830b736541d6018917e81fbf1e2610110315e6ceab7a,Renamed to stable chapter-figure identifier; content preserved; promoted as v4.3 author-corrected native authority,2026-08-23,AUTHOR_SOURCE_ACCEPTED; CANONICAL_COPY_RELEASED_CC_BY_4.0; SOURCE_FILENAME_AND_HASH_RETAINED
Figure.5.2,Figure_5_2_Bounded_Execution_Loop_v4_1_NATIVE_EDITABLE.odg,d3058243e995f7d0c0d5686eff11eb25a5ac0631af175d0a0136d8f4a5afad53,Figure_5_2.odg,d3058243e995f7d0c0d5686eff11eb25a5ac0631af175d0a0136d8f4a5afad53,Renamed to stable chapter-figure identifier; content preserved; promoted as v4.3 author-corrected native authority,2026-08-23,AUTHOR_SOURCE_ACCEPTED; CANONICAL_COPY_RELEASED_CC_BY_4.0; SOURCE_FILENAME_AND_HASH_RETAINED
Figure.6.1,Figure_6_1_Evidence_to_Claim_Ladder_v4_1_NATIVE_EDITABLE.odg,956f1fcc5f8e48601935b1c714a8de465253cfda9cabb074624779fc11833a02,Figure_6_1.odg,956f1fcc5f8e48601935b1c714a8de465253cfda9cabb074624779fc11833a02,Renamed to stable chapter-figure identifier; content preserved; promoted as v4.3 author-corrected native authority,2026-08-23,AUTHOR_SOURCE_ACCEPTED; CANONICAL_COPY_RELEASED_CC_BY_4.0; SOURCE_FILENAME_AND_HASH_RETAINED
Figure.6.2,Figure_6_2_Claim_Stress_Test_and_Gate_Returns_v4_1_NATIVE_EDITABLE.odg,29565ab0be16ea3a0c2dab6c0421a88e343f47da3322cfb26600399aaea5d994,Figure_6_2.odg,29565ab0be16ea3a0c2dab6c0421a88e343f47da3322cfb26600399aaea5d994,Renamed to stable chapter-figure identifier; content preserved; promoted as v4.3 author-corrected native authority,2026-08-23,AUTHOR_SOURCE_ACCEPTED; CANONICAL_COPY_RELEASED_CC_BY_4.0; SOURCE_FILENAME_AND_HASH_RETAINED
Figure.7.1,Figure_7_1_Gate_Records_to_Answer_Architecture_v4_1_NATIVE_EDITABLE.odg,d2e90b972af1c406f0cfddb70a511066a200ec1ed49bbb8cca2c225f31763271,Figure_7_1.odg,d2e90b972af1c406f0cfddb70a511066a200ec1ed49bbb8cca2c225f31763271,Renamed to stable chapter-figure identifier; content preserved; promoted as v4.3 author-corrected native authority,2026-08-23,AUTHOR_SOURCE_ACCEPTED; CANONICAL_COPY_RELEASED_CC_BY_4.0; SOURCE_FILENAME_AND_HASH_RETAINED
Figure.7.2,Figure_7_2_Section_and_Paragraph_Contract_v4_1_NATIVE_EDITABLE.odg,5797666544fb7f7396339eeef12e508fc4eb5c0af865cca005ac70a973229e72,Figure_7_2.odg,5797666544fb7f7396339eeef12e508fc4eb5c0af865cca005ac70a973229e72,Renamed to stable chapter-figure identifier; content preserved; promoted as v4.3 author-corrected native authority,2026-08-23,AUTHOR_SOURCE_ACCEPTED; CANONICAL_COPY_RELEASED_CC_BY_4.0; SOURCE_FILENAME_AND_HASH_RETAINED
Figure.8.1,Figure_8_1_Semantic_First_Revision_and_Proof_Control_v4_1_NATIVE_EDITABLE.odg,004a2e544fbda177d8ed7c0d2821518bb71f64dd15468e0bd877194820e85eab,Figure_8_1.odg,004a2e544fbda177d8ed7c0d2821518bb71f64dd15468e0bd877194820e85eab,Renamed to stable chapter-figure identifier; content preserved; promoted as v4.3 author-corrected native authority,2026-08-23,AUTHOR_SOURCE_ACCEPTED; CANONICAL_COPY_RELEASED_CC_BY_4.0; SOURCE_FILENAME_AND_HASH_RETAINED
Figure.8.2,Figure_8_2_One_Study_Consistency_and_Metadata_Lock_v4_1_NATIVE_EDITABLE.odg,52626b57a4694e11b15320d959d572a8f59171ebab211ff8bdfeb8265bebe35d,Figure_8_2.odg,52626b57a4694e11b15320d959d572a8f59171ebab211ff8bdfeb8265bebe35d,Renamed to stable chapter-figure identifier; content preserved; promoted as v4.3 author-corrected native authority,2026-08-23,AUTHOR_SOURCE_ACCEPTED; CANONICAL_COPY_RELEASED_CC_BY_4.0; SOURCE_FILENAME_AND_HASH_RETAINED
Figure.9.1,Figure_9_1_Author_Side_Closure_to_Defence_Ready_Record_v4_1_NATIVE_EDITABLE.odg,1db96515f7799ab4f420866fa9dc3ea3bfe3e32e1ce8b47233aa36e75b46195d,Figure_9_1.odg,1db96515f7799ab4f420866fa9dc3ea3bfe3e32e1ce8b47233aa36e75b46195d,Renamed to stable chapter-figure identifier; content preserved; promoted as v4.3 author-corrected native authority,2026-08-23,AUTHOR_SOURCE_ACCEPTED; CANONICAL_COPY_RELEASED_CC_BY_4.0; SOURCE_FILENAME_AND_HASH_RETAINED
Figure.9.2,Figure_9_2_One_Bounded_Contribution_Across_Defence_Interfaces_v4_1_NATIVE_EDITABLE.odg,8e12ee1a7aa8736f73911ec03fd1a261dd58c82d3e80ddcbd3191007f3245d8f,Figure_9_2.odg,8e12ee1a7aa8736f73911ec03fd1a261dd58c82d3e80ddcbd3191007f3245d8f,Renamed to stable chapter-figure identifier; content preserved; promoted as v4.3 author-corrected native authority,2026-08-23,AUTHOR_SOURCE_ACCEPTED; CANONICAL_COPY_RELEASED_CC_BY_4.0; SOURCE_FILENAME_AND_HASH_RETAINED
