figure_number,chapter,file_stem,caption,short_title,svg_path,svg_sha256,svg_bytes,odg_path,odg_sha256,odg_bytes,odg_native_object_count,odg_text_box_count,odg_embedded_image_count,odg_object_level_edit_smoke_test,pptx_path,pptx_sha256,pptx_bytes,pptx_native_shape_count,pptx_picture_count,png_path,png_sha256,png_bytes,text_roundtrip_odg,text_roundtrip_pptx,render_ssim,render_mae,status
1.1,1,Figure_1_1_Evidence_to_Defence_Architecture,"Figure 1.1. The evidence-to-defence architecture: eight inquiry routes, four controls and nine gates.","The evidence-to-defence architecture: eight inquiry routes, four controls and nine gates",01_SVG_CANONICAL/Figure_1_1_Evidence_to_Defence_Architecture.svg,2ec2ed603890a6397f56ec6bd2574eb501a2a9eabb06365489b794f3d6b22e59,8538,02_ODG_NATIVE_EDITABLE_INDIVIDUAL/Figure_1_1_Evidence_to_Defence_Architecture_NATIVE_EDITABLE.odg,ee4488f5cc7da3770837e727e9fcf40d688b0703e05c58834d9d2fa2335ce65f,40083,137,42,0,PASS,04_PPTX_NATIVE_EDITABLE_INDIVIDUAL/Figure_1_1_Evidence_to_Defence_Architecture_NATIVE_EDITABLE.pptx,4487815c3357f8021ffa367111ef9880e2e8244972958a49676792bb97d214d4,14149,137,0,06_PNG_REFERENCE/Figure_1_1_Evidence_to_Defence_Architecture.png,d543f9c9a3824ec147d857b1ef3b36dcc749e431393253d9ba9088a75b8458e5,316836,PASS,PASS,0.976074,2.373138,PASS
1.2,1,Figure_1_2_Advice_Authority_and_Authorship_Map,"Figure 1.2. Advice, approval, authority and assistance do not transfer authorship or responsibility.","Advice, approval, authority and assistance do not transfer authorship or responsibility",01_SVG_CANONICAL/Figure_1_2_Advice_Authority_and_Authorship_Map.svg,25fda182cae57ab36fc2883e1354e2093b4e4ebd4ec3d71a8519614522740951,4036,02_ODG_NATIVE_EDITABLE_INDIVIDUAL/Figure_1_2_Advice_Authority_and_Authorship_Map_NATIVE_EDITABLE.odg,8f09e3edd22ffc2f03b6fe9282061f404f08792a7c041bb41af993c059f8ac69,25498,46,21,0,PASS,04_PPTX_NATIVE_EDITABLE_INDIVIDUAL/Figure_1_2_Advice_Authority_and_Authorship_Map_NATIVE_EDITABLE.pptx,c3dc7735e206632e3de014fe9da48a6874f78a09e5db57dad4da9dbc178b1698,10774,46,0,06_PNG_REFERENCE/Figure_1_2_Advice_Authority_and_Authorship_Map.png,c569da3503ec1e594f1baa8ef95bf26ba904e626c7c3283415411d7a424eb047,234382,PASS,PASS,0.994841,0.80441,PASS
2.1,2,Figure_2_1_Topic_Decision_Path,Figure 2.1. From candidate ideas to the Problem Gate.,From candidate ideas to the Problem Gate,01_SVG_CANONICAL/Figure_2_1_Topic_Decision_Path.svg,f15826078377ec0b80e786c7a800ae064d2c318dbe60e200f6a2d780339c0467,4212,02_ODG_NATIVE_EDITABLE_INDIVIDUAL/Figure_2_1_Topic_Decision_Path_NATIVE_EDITABLE.odg,0bd459ab525e2c76447b1a90b17e6df0e901c87f9948c959434f34b1bec60efb,20887,66,16,0,PASS,04_PPTX_NATIVE_EDITABLE_INDIVIDUAL/Figure_2_1_Topic_Decision_Path_NATIVE_EDITABLE.pptx,df9699e301e96f168ed6e7b5ad84def031e0272fd8d59fd9276c4bcc9875ad38,10833,66,0,06_PNG_REFERENCE/Figure_2_1_Topic_Decision_Path.png,d25205527c59783b8dc1e65b9a364a69e568a2bd8791f75a8db255690cb157e7,129790,PASS,PASS,0.995016,0.511915,PASS
2.2,2,Figure_2_2_SCOPE_Framing_Canvas,Figure 2.2. The SCOPE framing canvas.,The SCOPE framing canvas,01_SVG_CANONICAL/Figure_2_2_SCOPE_Framing_Canvas.svg,e9c01ad05d8fff0374ddf996a80af9cd52ae795d8053065abfbdcfeb2845af47,4692,02_ODG_NATIVE_EDITABLE_INDIVIDUAL/Figure_2_2_SCOPE_Framing_Canvas_NATIVE_EDITABLE.odg,093a1c85b57969d21da2c89ca2d4c355a4f8673e9207617b6f4a1dc502a3066a,33019,54,21,0,PASS,04_PPTX_NATIVE_EDITABLE_INDIVIDUAL/Figure_2_2_SCOPE_Framing_Canvas_NATIVE_EDITABLE.pptx,b38536c9a5af6bc94661330591c31ea0e22a5096413a955b8bdf26a51f541f75,11144,54,0,06_PNG_REFERENCE/Figure_2_2_SCOPE_Framing_Canvas.png,9d0c20d6753d038c341b64928a87af0ac248d7367ee2c0d976b3fe17ab11efe6,309838,PASS,PASS,0.989701,1.901227,PASS
3.1,3,Figure_3_1_Evidence_Identity_Chain,Figure 3.1. From discovery record to claim-linked evidence and project decision.,From discovery record to claim-linked evidence and project decision,01_SVG_CANONICAL/Figure_3_1_Evidence_Identity_Chain.svg,2200a324121d31c69f4fb6c0c11ea139b547d78616417e09ddaf0dd87b405410,5017,02_ODG_NATIVE_EDITABLE_INDIVIDUAL/Figure_3_1_Evidence_Identity_Chain_NATIVE_EDITABLE.odg,89065e304368f740810e7c96e4e42d16cad5f0c29bd3adba0530a20ae7c10937,24829,71,21,0,PASS,04_PPTX_NATIVE_EDITABLE_INDIVIDUAL/Figure_3_1_Evidence_Identity_Chain_NATIVE_EDITABLE.pptx,8db835cd8c3a57bef64df43c64a85652b654d89d1f7004e53b553707091e974b,11384,71,0,06_PNG_REFERENCE/Figure_3_1_Evidence_Identity_Chain.png,1673dcc667e74790fb93496c15290f87ffbdd9b6a6ee5af2ba16dd207c311c8b,202017,PASS,PASS,0.987542,1.727396,PASS
3.2,3,Figure_3_2_CORPUS_Records_Cycle,Figure 3.2. The CORPUS cycle and its retained evidence records.,The CORPUS cycle and its retained evidence records,01_SVG_CANONICAL/Figure_3_2_CORPUS_Records_Cycle.svg,8f9a4087052f0b27effdb9f6b9f23b1c0bf81532929dc798ebe1c7cab0b41bf2,5669,02_ODG_NATIVE_EDITABLE_INDIVIDUAL/Figure_3_2_CORPUS_Records_Cycle_NATIVE_EDITABLE.odg,38b9074d3ef1eef0e3ab2eab46546127a3817eb31c994e137517974620dc27e1,27268,69,21,0,PASS,04_PPTX_NATIVE_EDITABLE_INDIVIDUAL/Figure_3_2_CORPUS_Records_Cycle_NATIVE_EDITABLE.pptx,4df2e0d02b34cf498d3ba967c97b1a904c3641d55ad797b2799af2af029d1def,11811,69,0,06_PNG_REFERENCE/Figure_3_2_CORPUS_Records_Cycle.png,d85681a4dbe440e9b9dea5c626f14b3b30cc9c32c66ac722ad182c0a515965cd,257966,PASS,PASS,0.989068,1.216838,PASS
4.1,4,Figure_4_1_Reversible_Driver_to_Test_Chain,Figure 4.1. The reversible driver-to-test chain.,The reversible driver-to-test chain,01_SVG_CANONICAL/Figure_4_1_Reversible_Driver_to_Test_Chain.svg,2b14986e53038039eb325e7450bca7db838995669a6a339143d3e121ba0aeb32,6215,02_ODG_NATIVE_EDITABLE_INDIVIDUAL/Figure_4_1_Reversible_Driver_to_Test_Chain_NATIVE_EDITABLE.odg,ebf7226f7a9f494a6d5aa1365023cbc91b2810694f7ad398dade8ee99150d864,23874,99,26,0,PASS,04_PPTX_NATIVE_EDITABLE_INDIVIDUAL/Figure_4_1_Reversible_Driver_to_Test_Chain_NATIVE_EDITABLE.pptx,5a5d7e6d50f14f956c397abc4de5a3162a4c144e50cdd482c66fc267912c35a2,11982,99,0,06_PNG_REFERENCE/Figure_4_1_Reversible_Driver_to_Test_Chain.png,af681bb31e5c4774c4094064f7fa5a977f158498d2f8159ee471bb622fdadbca,201400,PASS,PASS,0.992307,0.844581,PASS
4.2,4,Figure_4_2_DECIDE_Conditional_Commitment_Cycle,Figure 4.2. DECIDE as a cycle of conditional commitment.,DECIDE as a cycle of conditional commitment,01_SVG_CANONICAL/Figure_4_2_DECIDE_Conditional_Commitment_Cycle.svg,68f928b2e3daca1e4e3db2c8936ee3f8fc846b0363f1f1e5066f36d19fac3be3,4582,02_ODG_NATIVE_EDITABLE_INDIVIDUAL/Figure_4_2_DECIDE_Conditional_Commitment_Cycle_NATIVE_EDITABLE.odg,60d3268b77de8ef0bfe870a54f9f8820a1328ec37fda35e26198283766dad1aa,24470,63,15,0,PASS,04_PPTX_NATIVE_EDITABLE_INDIVIDUAL/Figure_4_2_DECIDE_Conditional_Commitment_Cycle_NATIVE_EDITABLE.pptx,e05967524b4a93286527dadd476d5b84e63d1ab751683293df697a77291c6994,11641,63,0,06_PNG_REFERENCE/Figure_4_2_DECIDE_Conditional_Commitment_Cycle.png,b0ea63707f5a8aa402191c47cad9d373ecce4eeda3c89ee716e6a2d7b3e45a20,199362,PASS,PASS,0.993999,0.525232,PASS
5.1,5,Figure_5_1_Candidate_to_Admission_Chain,Figure 5.1. Candidate-to-admission chain for one consequential work unit.,Candidate-to-admission chain for one consequential work unit,01_SVG_CANONICAL/Figure_5_1_Candidate_to_Admission_Chain.svg,184bb697682ba47fd7b88d5528a4c0053625b01cd6da0de8418ec4795dd77cb7,7815,02_ODG_NATIVE_EDITABLE_INDIVIDUAL/Figure_5_1_Candidate_to_Admission_Chain_NATIVE_EDITABLE.odg,9cbd4ec858df4ae9540253d04ec59c9d2fd01d02842e708a158b4451e974f186,35991,96,31,0,PASS,04_PPTX_NATIVE_EDITABLE_INDIVIDUAL/Figure_5_1_Candidate_to_Admission_Chain_NATIVE_EDITABLE.pptx,5885d829816e9474c7e13d14c6227bbdc562cc741a63024610cbf949dd8b79f2,12344,96,0,06_PNG_REFERENCE/Figure_5_1_Candidate_to_Admission_Chain.png,a202513bada32c0d4b546a69db0d6edd56f754e0abe866f10ad0ce89cb9d212a,269259,PASS,PASS,0.985464,1.081126,PASS
5.2,5,Figure_5_2_Bounded_Execution_Loop,Figure 5.2. The bounded execution loop and its stop points.,The bounded execution loop and its stop points,01_SVG_CANONICAL/Figure_5_2_Bounded_Execution_Loop.svg,8da5bb49d462208adbe7fedea2eb4970777ccdc180c01f9ba995aef47dddfe11,5755,02_ODG_NATIVE_EDITABLE_INDIVIDUAL/Figure_5_2_Bounded_Execution_Loop_NATIVE_EDITABLE.odg,e53dfb025d5e2fc189aa4faf7835b0eb90f56dd60dba1da6655add5cc42cd076,32905,70,18,0,PASS,04_PPTX_NATIVE_EDITABLE_INDIVIDUAL/Figure_5_2_Bounded_Execution_Loop_NATIVE_EDITABLE.pptx,09aa53c32c995fd1b34e2b802fc3b0b82b742ed294ff4e6d97031b1885c90a9a,12173,70,0,06_PNG_REFERENCE/Figure_5_2_Bounded_Execution_Loop.png,e91d82098f7752905c60a342c5a5a1c6bdbd8659a9483d9660adce3fb2a55a44,236193,PASS,PASS,0.994644,0.496129,PASS
