record_id,source_or_file,check_type,checked_on,result,redirect_or_change,next_check,reviewer,status
LC-001,https://senat.ase.ro/wp-content/uploads/2026/20260204/Hot.Senat%20nr.%208%20din%2004.02.2026_Mod.Reg.finalizare%20studii%20licenta.pdf,Direct official PDF and Senate-monitor review,2026-08-23,VERIFIED CONTROL BASE; RECHECK MONITOR BEFORE USE,Official regulation identity confirmed. No later bachelor’s-finalisation amendment was identified in the inspected 2026 monitor entries; the monitor remains a mandatory content-freeze recheck.,Immediately before consequential use and at content freeze,Controlled Phase 14C audit,RECORDED
LC-002,https://senat.ase.ro/wp-content/uploads/2025/20250924/Hot.Senat%20nr.%20174%20din%2024.09.2025_Reg.finalizare%20studii%20masterat.pdf,Direct official PDF and Senate-monitor review,2026-08-23,VERIFIED CONTROL BASE; RECHECK MONITOR BEFORE USE,Official regulation identity confirmed. No later master’s-finalisation amendment was identified in the inspected 2026 monitor entries; the monitor remains a mandatory content-freeze recheck.,Immediately before consequential use and at content freeze,Controlled Phase 14C audit,RECORDED
LC-003,https://senat.ase.ro/wp-content/uploads/2026/20260325/Hot.Senat%20nr.%2038%20din%2025.03.2026_Aprob.ghid%20utiliz.%20instrument.%20IAG.pdf,Direct official Senate decision/PDF review,2026-08-23,VERIFIED INSTITUTIONAL CONTROL BASE,ASE guide identity and approval under Senate Decision no. 38 of 25 March 2026 confirmed. The current form and route must still be rechecked.,At content freeze or source-version change,Controlled Phase 14C audit,RECORDED
LC-004,https://csie.ase.ro/student-csie/examen-licenta/,Direct live-page review and comparison with linked July 2026 notice,2026-08-23,OFFICIAL LOCATION VERIFIED; OPERATIONAL VALUE CONFLICT; DO NOT FREEZE,"Official location is live, but it retains a stale “current cohort 2025” label and states a 12:00 final-day cut-off whereas the linked July 2026 PDF states 11:00.",Immediately before consequential use and at content freeze,Controlled Phase 14C audit,RECORDED
LC-005,https://csie.ase.ro/student-csie/examen-disertatie/,Direct live-page review and comparison with linked June 2026 notice,2026-08-23,OFFICIAL LOCATION VERIFIED; OPERATIONAL VALUE CONFLICT; DO NOT FREEZE,"Official location is live, but a paragraph retains a July 2024 label and the page states a 14:00 final-day cut-off whereas the linked June 2026 PDF states 12:00.",Immediately before consequential use and at content freeze,Controlled Phase 14C audit,RECORDED
LC-006,https://www.net.ase.ro/antiplagiat/,Direct official web-page review,2026-08-23,IDENTITY VERIFIED; VOLATILE OPERATING VALUES REQUIRE RECHECK,Official page is accessible and distinguishes current and previous cohorts. It remains tied to 2025–2026 account and calendar conditions.,Immediately before consequential use and at content freeze,Controlled Phase 14C audit,RECORDED
LC-007,https://senat.ase.ro/monitor2026/,Direct official monitor review,2026-08-23,VERIFIED INDEX; CONTINUOUS RECHECK REQUIRED,Decision no. 8 of 4 February 2026 and decision no. 38 of 25 March 2026 were located in the official monitor.,Immediately before consequential use and at content freeze,Controlled Phase 14C audit,RECORDED
LC-008,https://consilierstudenti.ase.ro/calendarul-studentului-2025-2026/,Direct official page review,2026-08-23,VERIFIED HISTORICAL SESSION SOURCE; NOT A FUTURE-SESSION AUTHORITY,The page identifies the Student Calendar for academic year 2025–2026 and shows a later page update. It is historical for any 2026–2027 operational action.,Immediately before consequential use and at content freeze,Controlled Phase 14C audit,RECORDED
LC-009,https://csie.ase.ro/wp-content/uploads/2026/06/ANUNT-EXAMEN-LICENTA-iulie-2026-GRAFICANUNT-CERERE-ANEXA-1-ANEXA-2-ANGAJABILITATESATISFACTIE-1-2_removed-1.pdf,Official linked PDF review and live-page comparison,2026-08-23,HISTORICAL SOURCE; CONFLICT RECORDED; DO NOT CARRY FORWARD,Historical July 2026 notice located. Its 11:00 same-day cut-off conflicts with 12:00 on the live page.,Immediately before consequential use and at content freeze,Controlled Phase 14C audit,RECORDED
LC-010,https://csie.ase.ro/wp-content/uploads/2026/06/ANUNT-EXAMEN-DIZERTATIE-IUNIE-2026-GRAFICANUNT-ANEXA-1-2-3-3.1-ANGAJABILITATESATISFACTIE-1-2-1-1.pdf,Official linked PDF review and live-page comparison,2026-08-23,HISTORICAL SOURCE; CONFLICT RECORDED; DO NOT CARRY FORWARD,Historical June 2026 notice located. Its 12:00 same-day cut-off conflicts with 14:00 on the live page.,Immediately before consequential use and at content freeze,Controlled Phase 14C audit,RECORDED
LC-011,https://research-and-innovation.ec.europa.eu/document/download/2b6cf7e5-36ac-41cb-aab5-0d32050143dc_en?filename=ec_rtd_ai-guidelines.pdf,Official European Commission source review,2026-08-23,IDENTITY AND VERSION VERIFIED; RECHECK FOR LATER LIVING VERSION,Third version dated May 2026 confirmed. It is interpretive guidance and does not override a stricter applicable institutional rule.,Immediately before consequential use and at content freeze,Controlled Phase 14C audit,RECORDED
LC-012,https://doi.org/10.26356/ecoc,Official DOI/publisher identity review,2026-08-23,IDENTITY VERIFIED,Revised 2023 code and DOI identity confirmed.,At content freeze or source-version change,Controlled Phase 14C audit,RECORDED
LC-013,https://doi.org/10.1007/s40979-023-00133-4,Publisher/DOI identity review,2026-08-23,IDENTITY VERIFIED,"Article identity, publication venue and DOI confirmed.",At content freeze or source-version change,Controlled Phase 14C audit,RECORDED
LC-014,https://doi.org/10.6028/nist.ai.600-1,Official NIST/DOI identity review,2026-08-23,IDENTITY VERIFIED; CHECK CURRENT NIST RECORD FOR UPDATES,NIST generative-AI profile identity and DOI confirmed; the official record indicates a later web update without changing the cited report identity.,At content freeze or source-version change,Controlled Phase 14C audit,RECORDED
