figure_number,chapter,sequence,file_stem,caption,short_title,drawing_title,alt_text,master_source_file,master_source_path,svg_sha256,svg_bytes,png_sha256,png_bytes,png_width_px,png_height_px,old_global_svg_sha256,provenance_status,matching_phase_archive,svg_security_pass,external_references,contains_raster_image,fonts_declared,release_status
1.1,1,1,Figure_1_1_Evidence_to_Defence_Architecture,"Figure 1.1. The evidence-to-defence architecture: eight inquiry routes, four controls and nine gates.","The evidence-to-defence architecture: eight inquiry routes, four controls and nine gates",Evidence-to-defence architecture,"A three-row serpentine architecture. Eight inquiry routes enter a nine-gate chain: Project Start Pack, Problem, Evidence, Design, Execution, Claim, Argument, Editorial and Defence Readiness. SCOPE, CORPUS and DECIDE are local controls at the Problem, Evidence and Design gates. TRACE spans the chain. A dashed return path shows that new evidence may reopen an earlier gate.",TISG_RPTD_FINAL_ASE_X5_v3.1_2026-08-19.docx,word/media/image_ch01_01.svg,2ec2ed603890a6397f56ec6bd2574eb501a2a9eabb06365489b794f3d6b22e59,8538,d543f9c9a3824ec147d857b1ef3b36dcc749e431393253d9ba9088a75b8458e5,316836,2400,1560,dd356726654b2136d2712eb5255feba55d67d5a58359b78f706773a3e0d0d695,changed_since_2026-08-16_global_archive,TISG_RPTD_PHASE_02_EDITABLE_FIGURES_CHAPTER_1_2026-08-17.zip:ASSETS/Figure_1_1_Evidence_to_Defence_Architecture.svg,True,,False,"Times New Roman, serif","HOLD — publisher, coauthor rights allocation and licence decision pending"
1.2,1,2,Figure_1_2_Advice_Authority_and_Authorship_Map,"Figure 1.2. Advice, approval, authority and assistance do not transfer authorship or responsibility.","Advice, approval, authority and assistance do not transfer authorship or responsibility","Advice, authority and authorship map","A central student box owns authorship, execution, verification, decision records and defence. Arrows enter from the supervisor for advice and academic approval, institutional authority for rules and assessment, an external organisation for context and access and an AI tool for candidate assistance. None transfers responsibility for the submitted record.",TISG_RPTD_FINAL_ASE_X5_v3.1_2026-08-19.docx,word/media/image_ch01_02.svg,25fda182cae57ab36fc2883e1354e2093b4e4ebd4ec3d71a8519614522740951,4036,c569da3503ec1e594f1baa8ef95bf26ba904e626c7c3283415411d7a424eb047,234382,2400,1307,d66500caad13a7032929246c90c3f1f34d682e8dfc609cd9d2ed84c1eb9ef152,changed_since_2026-08-16_global_archive,TISG_RPTD_PHASE_02_EDITABLE_FIGURES_CHAPTER_1_2026-08-17.zip:ASSETS/Figure_1_2_Role_Advice_Authority_Authorship_Map.svg,True,,False,"Times New Roman, serif","HOLD — publisher, coauthor rights allocation and licence decision pending"
2.1,2,1,Figure_2_1_Topic_Decision_Path,Figure 2.1. From candidate ideas to the Problem Gate.,From candidate ideas to the Problem Gate,Evidence-tested path from candidate ideas to the Problem Gate,"A six-step decision path moves from candidate ideas through topic screening, SCOPE framing and a critical-assumption test to a recorded decision and the Problem Gate. The decision must be continue, narrow, pivot or stop. A dashed feedback path returns narrowed or pivoted work to SCOPE; only supported continuation reaches the gate.",TISG_RPTD_FINAL_ASE_X5_v3.1_2026-08-19.docx,word/media/image_ch02_01.svg,f15826078377ec0b80e786c7a800ae064d2c318dbe60e200f6a2d780339c0467,4212,d25205527c59783b8dc1e65b9a364a69e568a2bd8791f75a8db255690cb157e7,129790,2400,827,86a643b510d48b0c744515065e3da390825bed141b43ed2de7f0bf672569dfef,changed_since_2026-08-16_global_archive,TISG_RPTD_PHASE_03_EDITABLE_FIGURES_CHAPTER_2_2026-08-17.zip:01_EDITABLE_SVG/Figure_2_1_Topic_Decision_Path_v2.2.svg,True,,False,"Times New Roman, Liberation Serif, serif","HOLD — publisher, coauthor rights allocation and licence decision pending"
2.2,2,2,Figure_2_2_SCOPE_Framing_Canvas,Figure 2.2. The SCOPE framing canvas.,The SCOPE framing canvas,SCOPE project-framing canvas with evidence and uncertainty,"The SCOPE canvas surrounds a tractable project with five interdependent fields: Situation and stakeholders, Change sought and constraints, Outcomes and objectives, Planned evidence and performance criteria, and Exclusions, assumptions and ethical boundaries. Every field records evidence and an unresolved uncertainty.",TISG_RPTD_FINAL_ASE_X5_v3.1_2026-08-19.docx,word/media/image_ch02_02.svg,e9c01ad05d8fff0374ddf996a80af9cd52ae795d8053065abfbdcfeb2845af47,4692,9d0c20d6753d038c341b64928a87af0ac248d7367ee2c0d976b3fe17ab11efe6,309838,2400,1200,4cfdcbfc92e6d24ecf811284bc1348738dd04d087d9d2dd308e815dc70682752,changed_since_2026-08-16_global_archive,TISG_RPTD_PHASE_03_EDITABLE_FIGURES_CHAPTER_2_2026-08-17.zip:01_EDITABLE_SVG/Figure_2_2_SCOPE_Framing_Canvas_v2.2.svg,True,,False,"Times New Roman, Liberation Serif, serif","HOLD — publisher, coauthor rights allocation and licence decision pending"
3.1,3,1,Figure_3_1_Evidence_Identity_Chain,Figure 3.1. From discovery record to claim-linked evidence and project decision.,From discovery record to claim-linked evidence and project decision,Evidence identity chain from discovery to project decision,"A seven-stage chain moves from a documented search route to a discovery record, verified source object, identity resolution, reading and appraisal, claim-linked evidence and a project decision. Identity resolution maps related publications to one study or versions to an authoritative object. A dashed feedback path shows that evidence may reopen the search or Problem Gate.",TISG_RPTD_FINAL_ASE_X5_v3.1_2026-08-19.docx,word/media/image_ch03_01.svg,2200a324121d31c69f4fb6c0c11ea139b547d78616417e09ddaf0dd87b405410,5017,1673dcc667e74790fb93496c15290f87ffbdd9b6a6ee5af2ba16dd207c311c8b,202017,2400,1013,3f51bda8b8ef90663c0c82060d9d3c01992a5891fe74adb72ed40f323c47c925,changed_since_2026-08-16_global_archive,TISG_RPTD_PHASE_04_EDITABLE_FIGURES_CHAPTER_3_2026-08-19.zip:SVG/Figure_3_1_Evidence_Identity_Chain_v2.3.svg,True,,False,"Times New Roman, Liberation Serif, serif","HOLD — publisher, coauthor rights allocation and licence decision pending"
3.2,3,2,Figure_3_2_CORPUS_Records_Cycle,Figure 3.2. The CORPUS cycle and its retained evidence records.,The CORPUS cycle and its retained evidence records,CORPUS cycle with retained evidence records,The CORPUS cycle contains six stages around an Evidence Base Pack. Collect produces a Search Strategy Record; Organise produces a Source Ledger and identity map; Read produces a Core Source Note; Probe produces an Appraisal Record; Use produces a Claim–Evidence Map; Synthesise produces a Synthesis Memo and Corpus Statement. Arrows show the iterative cycle and dashed links connect each retained record to the central pack.,TISG_RPTD_FINAL_ASE_X5_v3.1_2026-08-19.docx,word/media/image_ch03_02.svg,8f9a4087052f0b27effdb9f6b9f23b1c0bf81532929dc798ebe1c7cab0b41bf2,5669,d85681a4dbe440e9b9dea5c626f14b3b30cc9c32c66ac722ad182c0a515965cd,257966,2400,1227,51ba94ddeab29c02d69edbefad25fb2fc74c4633107d7f296e4b1710e242cf3c,changed_since_2026-08-16_global_archive,TISG_RPTD_PHASE_04_EDITABLE_FIGURES_CHAPTER_3_2026-08-19.zip:SVG/Figure_3_2_CORPUS_Records_Cycle_v2.3.svg,True,,False,"Times New Roman, Liberation Serif, serif","HOLD — publisher, coauthor rights allocation and licence decision pending"
4.1,4,1,Figure_4_1_Reversible_Driver_to_Test_Chain,Figure 4.1. The reversible driver-to-test chain.,The reversible driver-to-test chain,Reversible driver-to-test chain,"A reversible chain moves from evidence and authority through driver and boundary, criteria, credible alternatives and trade-off to a decision with a reconsideration trigger, a protocol or artefact, an early test and an evaluation result. A dashed feedback path shows that failed evidence or changed authority reopens the upstream commitment.",TISG_RPTD_FINAL_ASE_X5_v3.1_2026-08-19.docx,word/media/image_ch04_01.svg,2b14986e53038039eb325e7450bca7db838995669a6a339143d3e121ba0aeb32,6215,af681bb31e5c4774c4094064f7fa5a977f158498d2f8159ee471bb622fdadbca,201400,2400,1340,f29c4520bb7d54fe8ddaab055358744aadcfb5af04234da9b59eb39b28983d54,changed_since_2026-08-16_global_archive,TISG_RPTD_PHASE_05_EDITABLE_FIGURES_CHAPTER_4_2026-08-19.zip:SVG/Figure_4_1_Reversible_Driver_to_Test_Chain_v2.4.svg,True,,False,"Times New Roman, Liberation Serif, serif","HOLD — publisher, coauthor rights allocation and licence decision pending"
4.2,4,2,Figure_4_2_DECIDE_Conditional_Commitment_Cycle,Figure 4.2. DECIDE as a cycle of conditional commitment.,DECIDE as a cycle of conditional commitment,DECIDE conditional commitment cycle,"Six DECIDE operations surround a conditional commitment. Define records drivers, boundaries and authority; Establish links evidence and criteria; Construct creates credible alternatives; Inspect examines implications, threats and reversibility; Decide records rationale, owner and trigger; Evaluate Early probes the highest-risk assumption. Arrows show the iterative cycle and dashed links connect every operation to the conditional commitment.",TISG_RPTD_FINAL_ASE_X5_v3.1_2026-08-19.docx,word/media/image_ch04_02.svg,68f928b2e3daca1e4e3db2c8936ee3f8fc846b0363f1f1e5066f36d19fac3be3,4582,b0ea63707f5a8aa402191c47cad9d373ecce4eeda3c89ee716e6a2d7b3e45a20,199362,2400,1400,5e35940b9c61fa6ae266e2523894b00e3fdbf0ba9e3d24a34039a95851a244f5,changed_since_2026-08-16_global_archive,TISG_RPTD_PHASE_05_EDITABLE_FIGURES_CHAPTER_4_2026-08-19.zip:SVG/Figure_4_2_DECIDE_Conditional_Commitment_Cycle_v2.4.svg,True,,False,"Times New Roman, Liberation Serif, serif","HOLD — publisher, coauthor rights allocation and licence decision pending"
5.1,5,1,Figure_5_1_Candidate_to_Admission_Chain,Figure 5.1. Candidate-to-admission chain for one consequential work unit.,Candidate-to-admission chain for one consequential work unit,Candidate-to-admission chain,"A top-row chain moves from approved commitment through bounded work unit, frozen starting state, candidate output and inspection with local checks. A disposition box sends accepted work to an accepted work unit, Execution Dossier and Chapter 6 evaluation. A dashed return path shows that repair, repetition, missing authority or new evidence can reopen preparation or an earlier gate. The figure states that acceptance does not prove the thesis claim.",TISG_RPTD_FINAL_ASE_X5_v3.1_2026-08-19.docx,word/media/image_ch05_01.svg,184bb697682ba47fd7b88d5528a4c0053625b01cd6da0de8418ec4795dd77cb7,7815,a202513bada32c0d4b546a69db0d6edd56f754e0abe866f10ad0ce89cb9d212a,269259,2400,1280,04a63c275d199fc3924451325493d9c16a5f731c9d1820503d18ede58af2be77,changed_since_2026-08-16_global_archive,TISG_RPTD_PHASE_06_EDITABLE_FIGURES_CHAPTER_5_2026-08-19.zip:SVG/Figure_5_1_Candidate_to_Admission_Chain_v2.5.svg,True,,False,"Times New Roman, Liberation Serif, serif","HOLD — publisher, coauthor rights allocation and licence decision pending"
5.2,5,2,Figure_5_2_Bounded_Execution_Loop,Figure 5.2. The bounded execution loop and its stop points.,The bounded execution loop and its stop points,Bounded execution loop,"Six stages surround one consequential work unit: authorise and bound, freeze state, produce candidate work, inspect the primary artefact and checks, decide disposition, then record and recover. A stop notice precedes external or irreversible action. The lower note states that failed runs and rejected candidates remain in the record.",TISG_RPTD_FINAL_ASE_X5_v3.1_2026-08-19.docx,word/media/image_ch05_02.svg,8da5bb49d462208adbe7fedea2eb4970777ccdc180c01f9ba995aef47dddfe11,5755,e91d82098f7752905c60a342c5a5a1c6bdbd8659a9483d9660adce3fb2a55a44,236193,2400,1307,e19ddbb17fbd30e6120e641cca9e66849e2a53dc1187221084183223647f3dac,changed_since_2026-08-16_global_archive,TISG_RPTD_PHASE_06_EDITABLE_FIGURES_CHAPTER_5_2026-08-19.zip:SVG/Figure_5_2_Bounded_Execution_Loop_v2.5.svg,True,,False,"Times New Roman, Liberation Serif, serif","HOLD — publisher, coauthor rights allocation and licence decision pending"
