source_id,current_or_preliminary_url,canonical_url,domain,verification_status,canonical_year_label,metadata_decision,volatile_recheck_required,verification_date
S010,https://senat.ase.ro/wp-content/uploads/2025/20250924/Hot.Senat%20nr.%20174%20din%2024.09.2025_Reg.finalizare%20studii%20masterat.pdf,https://senat.ase.ro/wp-content/uploads/2025/20250924/Hot.Senat%20nr.%20174%20din%2024.09.2025_Reg.finalizare%20studii%20masterat.pdf,senat.ase.ro,VERIFIED CONTROL BASE; CURRENT SENATE-MONITOR AND ROUTE CHECK REQUIRED,2025b,Global APA suffix assigned: 2025b; authoritative master’s regulation identity retained.,YES,2026-08-23
S011,https://senat.ase.ro/wp-content/uploads/2026/20260325/Hot.Senat%20nr.%2038%20din%2025.03.2026_Aprob.ghid%20utiliz.%20instrument.%20IAG.pdf,https://senat.ase.ro/wp-content/uploads/2026/20260325/Hot.Senat%20nr.%2038%20din%2025.03.2026_Aprob.ghid%20utiliz.%20instrument.%20IAG.pdf,senat.ase.ro,VERIFIED INSTITUTIONAL CONTROL BASE; CURRENT FORM AND NARROWER INSTRUCTIONS REQUIRE RECHECK,2026b,Global APA suffix assigned: 2026b; title normalised to the official guide wording.,YES,2026-08-23
S012,https://senat.ase.ro/wp-content/uploads/2026/20260204/Hot.Senat%20nr.%208%20din%2004.02.2026_Mod.Reg.finalizare%20studii%20licenta.pdf,https://senat.ase.ro/wp-content/uploads/2026/20260204/Hot.Senat%20nr.%208%20din%2004.02.2026_Mod.Reg.finalizare%20studii%20licenta.pdf,senat.ase.ro,VERIFIED CONTROL BASE; CURRENT SENATE-MONITOR AND ROUTE CHECK REQUIRED,2026c,Global APA suffix assigned: 2026c; authoritative bachelor’s regulation identity retained.,YES,2026-08-23
S147,https://csie.ase.ro/student-csie/examen-disertatie/,https://csie.ase.ro/student-csie/examen-disertatie/,csie.ase.ro,OFFICIAL LIVE LOCATION; CUT-OFF CONFLICT AND STALE LABEL RECORDED; NO VALUE FROZEN,n.d.-a,No substantive metadata correction; punctuation and locator normalised where required.,YES,2026-08-23
S148,https://csie.ase.ro/student-csie/examen-licenta/,https://csie.ase.ro/student-csie/examen-licenta/,csie.ase.ro,OFFICIAL LIVE LOCATION; CUT-OFF CONFLICT AND STALE LABEL RECORDED; NO VALUE FROZEN,n.d.-b,No substantive metadata correction; punctuation and locator normalised where required.,YES,2026-08-23
S150,https://www.net.ase.ro/antiplagiat/,https://www.net.ase.ro/antiplagiat/,www.net.ase.ro,"OFFICIAL LIVE LOCATION; ACCOUNT, COHORT AND WINDOW VALUES REMAIN VOLATILE",n.d.,Corporate author normalised to “Serviciul Rețele”; parent institution retained as site name.,YES,2026-08-23
S151,https://senat.ase.ro/monitor2026/,https://senat.ase.ro/monitor2026/,senat.ase.ro,OFFICIAL SUPERSESSION INDEX; CONTINUOUS RECHECK REQUIRED,n.d.,No substantive metadata correction; punctuation and locator normalised where required.,YES,2026-08-23
S152,https://consilierstudenti.ase.ro/calendarul-studentului-2025-2026/,https://consilierstudenti.ase.ro/calendarul-studentului-2025-2026/,consilierstudenti.ase.ro,VERIFIED HISTORICAL 2025–2026 PAGE; NOT A FUTURE-SESSION AUTHORITY,2026a,Publication/update date normalised to 28 July 2026; global ASE suffix 2026a retained.,YES,2026-08-23
S153,https://csie.ase.ro/wp-content/uploads/2026/06/ANUNT-EXAMEN-DIZERTATIE-IUNIE-2026-GRAFICANUNT-ANEXA-1-2-3-3.1-ANGAJABILITATESATISFACTIE-1-2-1-1.pdf,https://csie.ase.ro/wp-content/uploads/2026/06/ANUNT-EXAMEN-DIZERTATIE-IUNIE-2026-GRAFICANUNT-ANEXA-1-2-3-3.1-ANGAJABILITATESATISFACTIE-1-2-1-1.pdf,csie.ase.ro,VERIFIED HISTORICAL NOTICE; LIVE-PAGE CONFLICT; DO NOT CARRY FORWARD,2026a,No substantive metadata correction; punctuation and locator normalised where required.,YES,2026-08-23
S154,https://csie.ase.ro/wp-content/uploads/2026/06/ANUNT-EXAMEN-LICENTA-iulie-2026-GRAFICANUNT-CERERE-ANEXA-1-ANEXA-2-ANGAJABILITATESATISFACTIE-1-2_removed-1.pdf,https://csie.ase.ro/wp-content/uploads/2026/06/ANUNT-EXAMEN-LICENTA-iulie-2026-GRAFICANUNT-CERERE-ANEXA-1-ANEXA-2-ANGAJABILITATESATISFACTIE-1-2_removed-1.pdf,csie.ase.ro,VERIFIED HISTORICAL NOTICE; LIVE-PAGE CONFLICT; DO NOT CARRY FORWARD,2026b,No substantive metadata correction; punctuation and locator normalised where required.,YES,2026-08-23
S155,https://research-and-innovation.ec.europa.eu/document/download/2b6cf7e5-36ac-41cb-aab5-0d32050143dc_en?filename=ec_rtd_ai-guidelines.pdf,https://research-and-innovation.ec.europa.eu/document/download/2b6cf7e5-36ac-41cb-aab5-0d32050143dc_en?filename=ec_rtd_ai-guidelines.pdf,research-and-innovation.ec.europa.eu,"VERIFIED THIRD VERSION, MAY 2026; LIVING GUIDANCE RECHECK REQUIRED",2026,"Version statement expanded to “3rd version, May 2026”.",YES,2026-08-23
S157,https://consilierstudenti.ase.ro/wp-content/uploads/2025/09/Calendarul-Studentului-2025-2026_23-iunie.docx.pdf,https://consilierstudenti.ase.ro/wp-content/uploads/2025/09/Calendarul-Studentului-2025-2026_23-iunie.docx.pdf,consilierstudenti.ase.ro,VERIFIED HISTORICAL 2025–2026 PDF; NOT A FUTURE-SESSION AUTHORITY,2025a,Global ASE suffix assigned: 2025a; format descriptor [PDF] added.,YES,2026-08-23
S158,https://csie.ase.ro/desfasurarea-examenului-de-licenta-sesiunea-august-2026-organizata-numai-pentru-studentii-participanti-la-programe-de-mobilitate-internationala/,https://csie.ase.ro/desfasurarea-examenului-de-licenta-sesiunea-august-2026-organizata-numai-pentru-studentii-participanti-la-programe-de-mobilitate-internationala/,csie.ase.ro,DISCOVERED ON OFFICIAL INDEX; TARGET PAYLOAD UNRETRIEVED; NO OPERATIONAL VALUE FROZEN,n.d.-c,Conditional mobility-only bachelor’s announcement; title taken from official index; target-page metadata remains provisional.,YES,2026-08-23
S159,https://csie.ase.ro/desfasurarea-examenului-de-disertatie-sesiunea-august-2026-pentru-studentii-participanti-la-programe-de-mobilitate-internationala/,https://csie.ase.ro/desfasurarea-examenului-de-disertatie-sesiunea-august-2026-pentru-studentii-participanti-la-programe-de-mobilitate-internationala/,csie.ase.ro,DISCOVERED ON OFFICIAL INDEX; TARGET PAYLOAD UNRETRIEVED; NO OPERATIONAL VALUE FROZEN,n.d.-d,Conditional mobility-only dissertation announcement; title taken from official index; target-page metadata remains provisional.,YES,2026-08-23
