control_id,control,expected,result,status
P14C-01,Appendix object coverage,274 unique objects,274,PASS
P14C-02,Narrative coverage,118 objects with controlled locators,118,PASS
P14C-03,Table header coverage,15 exact schemas,15,PASS
P14C-04,Table row coverage,141 exact editable rows,141,PASS
P14C-05,Stable book principles,21 remain open,21 open,PASS
P14C-06,Current-source verification,17 controlled entries,17,PASS
P14C-07,Conflict retention,"4, no value selected",4,PASS
P14C-08,Mobility-only exceptions,"2, payload unverified",2,PASS
P14C-09,Authoritative book mutation,False,False,PASS
P14C-10,Public release readiness,False,False,PASS
