field,entry,evidence_or_basis,review_status,guidance
Author order,,,,Exact final order.
Author identifiers,,,,Only verified affiliations and ORCIDs.
Contribution statement,,,,Only confirmed contributions.
Title,,,,Bounded and accurate.
Subtitle,,,,If used.
Abstract question,,,,Matches manuscript.
Abstract method,,,,Executed method.
Abstract result,,,,Evidence-aligned.
Abstract conclusion,,,,Bounded claim.
Keywords,,,,Stable terminology.
Conclusion wording,,,,Does not restore rejected claim.
File and repository metadata,,,,Same identity.
Verification and version,,,,"Reviewer, date and status."
