source_id,canonical_year_label,canonical_entry,chapter_occurrences,appendix_occurrences,appendix_codes,volatile_recheck_required,planned_decision,implementation_gate
S157,2025a,Academia de Studii Economice din București. (2025a). Calendarul studentului 2025–2026 [PDF]. https://consilierstudenti.ase.ro/wp-content/uploads/2025/09/Calendarul-Studentului-2025-2026_23-iunie.docx.pdf,0,1,E4,NO,MOVE_TO_COMPANION_SOURCE_REGISTER_AND_REMOVE_FROM_BOOK_REFERENCES_IF_UNCITED,Recalculate citation occurrences after appendix removal; no uncited reference may remain.
S010,2025b,"Academia de Studii Economice din București. (2025b). Regulament privind organizarea și desfășurarea examenului de finalizare a studiilor universitare de masterat, începând cu anul universitar 2025–2026 (Hotărârea Senatului nr. 174/24.09.2025). https://senat.ase.ro/wp-content/uploads/2025/20250924/Hot.Senat%20nr.%20174%20din%2024.09.2025_Reg.finalizare%20studii%20masterat.pdf",8,4,A2 | B2 | C2 | E2,NO,RETAIN_IN_BOOK_REFERENCES; ALSO_MAP_TO_COMPANION_WHERE_OPERATIONAL,No new book citation required; verify current official sources at content freeze where volatile.
S152,2026a,"Academia de Studii Economice din București. (2026a, July 28). Calendarul studentului 2025–2026. https://consilierstudenti.ase.ro/calendarul-studentului-2025-2026/",0,2,B4 | C8,YES,MOVE_TO_COMPANION_SOURCE_REGISTER_AND_REMOVE_FROM_BOOK_REFERENCES_IF_UNCITED,Recalculate citation occurrences after appendix removal; no uncited reference may remain.
S011,2026b,Academia de Studii Economice din București. (2026b). Ghid de utilizare a instrumentelor de inteligență artificială generativă în cadrul Academiei de Studii Economice din București (Hotărârea Senatului nr. 38/25.03.2026). https://senat.ase.ro/wp-content/uploads/2026/20260325/Hot.Senat%20nr.%2038%20din%2025.03.2026_Aprob.ghid%20utiliz.%20instrument.%20IAG.pdf,8,5,A3 | B3 | C3 | D1 | E3,NO,RETAIN_IN_BOOK_REFERENCES; ALSO_MAP_TO_COMPANION_WHERE_OPERATIONAL,No new book citation required; verify current official sources at content freeze where volatile.
S012,2026c,"Academia de Studii Economice din București. (2026c). Regulament privind organizarea și desfășurarea examenului de finalizare a studiilor universitare de licență, începând cu anul universitar 2025–2026 (Hotărârea Senatului nr. 8/04.02.2026). https://senat.ase.ro/wp-content/uploads/2026/20260204/Hot.Senat%20nr.%208%20din%2004.02.2026_Mod.Reg.finalizare%20studii%20licenta.pdf",8,4,A1 | B1 | C1 | E1,NO,RETAIN_IN_BOOK_REFERENCES; ALSO_MAP_TO_COMPANION_WHERE_OPERATIONAL,No new book citation required; verify current official sources at content freeze where volatile.
S156,2023,ALLEA. (2023). The European code of conduct for research integrity: Revised edition 2023. https://doi.org/10.26356/ecoc,0,1,D3,NO,CONDITIONAL_RETAIN: CITE_IN_REINTEGRATED_AI_PRINCIPLE_OR_REMOVE_FROM_BOOK,Book Phase 15 must either cite the source in stable body prose or delete it from consolidated References.
S104,2024,"Autio, C., Schwartz, R., Dunietz, J., Jain, S., Stanley, M., Tabassi, E., Hall, P., & Roberts, K. (2024). Artificial intelligence risk management framework: Generative artificial intelligence profile (NIST AI 600-1). National Institute of Standards and Technology. https://doi.org/10.6028/nist.ai.600-1",1,1,D5,NO,RETAIN_IN_BOOK_REFERENCES; ALSO_MAP_TO_COMPANION_WHERE_OPERATIONAL,No new book citation required; verify current official sources at content freeze where volatile.
S155,2026,"European Commission, Directorate-General for Research and Innovation. (2026). Living guidelines on the responsible use of generative AI in research (3rd version, May 2026). https://research-and-innovation.ec.europa.eu/document/download/2b6cf7e5-36ac-41cb-aab5-0d32050143dc_en?filename=ec_rtd_ai-guidelines.pdf",0,1,D2,YES,CONDITIONAL_RETAIN: CITE_IN_REINTEGRATED_AI_PRINCIPLE_OR_REMOVE_FROM_BOOK,Book Phase 15 must either cite the source in stable body prose or delete it from consolidated References.
S147,n.d.-a,"Facultatea de Cibernetică, Statistică și Informatică Economică. (n.d.-a). Pregătirea examenului de disertație. Retrieved August 21, 2026, from https://csie.ase.ro/student-csie/examen-disertatie/",1,4,A5 | B6 | C5 | E6,YES,RETAIN_IN_BOOK_REFERENCES; ALSO_MAP_TO_COMPANION_WHERE_OPERATIONAL,No new book citation required; verify current official sources at content freeze where volatile.
S148,n.d.-b,"Facultatea de Cibernetică, Statistică și Informatică Economică. (n.d.-b). Pregătirea examenului de licență. Retrieved August 21, 2026, from https://csie.ase.ro/student-csie/examen-licenta/",1,4,A4 | B5 | C4 | E5,YES,RETAIN_IN_BOOK_REFERENCES; ALSO_MAP_TO_COMPANION_WHERE_OPERATIONAL,No new book citation required; verify current official sources at content freeze where volatile.
S153,2026a,"Facultatea de Cibernetică, Statistică și Informatică Economică. (2026a). Graficul organizării și desfășurării examenului de disertație: Sesiunea iunie 2026 [PDF]. https://csie.ase.ro/wp-content/uploads/2026/06/ANUNT-EXAMEN-DIZERTATIE-IUNIE-2026-GRAFICANUNT-ANEXA-1-2-3-3.1-ANGAJABILITATESATISFACTIE-1-2-1-1.pdf",0,2,B8 | C7,YES,MOVE_TO_COMPANION_SOURCE_REGISTER_AND_REMOVE_FROM_BOOK_REFERENCES_IF_UNCITED,Recalculate citation occurrences after appendix removal; no uncited reference may remain.
S154,2026b,"Facultatea de Cibernetică, Statistică și Informatică Economică. (2026b). Graficul organizării și desfășurării examenului de licență: Sesiunea iulie 2026 [PDF]. https://csie.ase.ro/wp-content/uploads/2026/06/ANUNT-EXAMEN-LICENTA-iulie-2026-GRAFICANUNT-CERERE-ANEXA-1-ANEXA-2-ANGAJABILITATESATISFACTIE-1-2_removed-1.pdf",0,2,B7 | C6,YES,MOVE_TO_COMPANION_SOURCE_REGISTER_AND_REMOVE_FROM_BOOK_REFERENCES_IF_UNCITED,Recalculate citation occurrences after appendix removal; no uncited reference may remain.
S001,2023,"Foltýnek, T., Bjelobaba, S., Glendinning, I., Khan, Z. R., Santos, R., Pavletic, P., & Kravjar, J. (2023). ENAI recommendations on the ethical use of artificial intelligence in education. International Journal for Educational Integrity, 19, Article 12. https://doi.org/10.1007/s40979-023-00133-4",1,1,D4,NO,RETAIN_IN_BOOK_REFERENCES; ALSO_MAP_TO_COMPANION_WHERE_OPERATIONAL,No new book citation required; verify current official sources at content freeze where volatile.
S151,n.d.,"Senatul Universitar al Academiei de Studii Economice din București. (n.d.). Hotărârile Senatului universitar din 2026. Retrieved August 21, 2026, from https://senat.ase.ro/monitor2026/",0,3,A7 | B10 | E8,YES,MOVE_TO_COMPANION_SOURCE_REGISTER_AND_REMOVE_FROM_BOOK_REFERENCES_IF_UNCITED,Recalculate citation occurrences after appendix removal; no uncited reference may remain.
S150,n.d.,"Serviciul Rețele. (n.d.). Verificare antiplagiat lucrare finalizare studii. Academia de Studii Economice din București. Retrieved August 21, 2026, from https://www.net.ase.ro/antiplagiat/",1,4,A6 | B9 | C9 | E7,YES,RETAIN_IN_BOOK_REFERENCES; ALSO_MAP_TO_COMPANION_WHERE_OPERATIONAL,No new book citation required; verify current official sources at content freeze where volatile.
