field,entry,evidence_or_basis,review_status,guidance
Scientific record version,,,,Exact ID and hash.
Institutional package version,,,,Exact ID and manifest.
Private defence evidence set,,,,Restricted inventory.
Public-release candidate,,,,Unpublished status and exclusions.
Presentation version,,,,Exact ID and hash.
Demonstration runbook,,,,Accepted release and fallback.
Independent rehearsal,,,,Reviewer and unseen questions.
Evidence retrieval test,,,,Time and result.
Hostile-question outcome,,,,Bounded answers and unresolved items.
AI disclosure and oral ownership,,,,Status.
"Rights, privacy and authority",,,,Current status.
Gate decision,,,,"Pass, conditional pass, repair, return, await authority or stop."
"Next action, reviewer, date and version",,,,Lifecycle record.
