Mandatory or conditional official requirement,Recommended control
"Authority and route. Mandatory. Use the regulation in force, the current faculty or programme instruction, the current official form and any valid written decision that operates within that hierarchy. Keep the bachelor’s and master’s routes separate. Where official sources appear inconsistent, pause the affected action and obtain written clarification rather than selecting the most convenient route. [Authority: A1–A2 and A4–A7. Verified 23 August 2026.]",Authority and route. Recommended. Save a dated copy or screenshot of the controlling source set and record which authority governed each consequential action. Recheck the set immediately before acting.
"Topic, title and supervisor. Mandatory. A bachelor’s candidate must have an approved topic and supervisor at least eight months before the examination. A master’s candidate must have them at least six months before the examination. Follow the current faculty route for selection and approval. [Authority: A1, Arts 6 and 9; A2, Arts 6 and 9; A4–A5. Verified 23 August 2026.] Conditional. A title change requires the prescribed request, endorsements and approval, must remain within the initial thematic frame and must be requested at least two months before the examination. [Authority: A1, Art. 9; A2, Art. 9. Verified 23 August 2026.]","Topic, title and supervisor. Recommended. Freeze a one-page scope statement containing the problem, research question, intended evidence, contribution boundary, access assumptions and principal risks before treating the title as stable."
"Supervision and progress. Mandatory. Present the work to the supervisor at successive stages and follow the current official timetable for topic selection and similarity review. Missing those timetable requirements can make the candidate ineligible for that session. [Authority: A1, Arts 5–7; A2, Arts 5–7; A4–A6. Verified 23 August 2026.]","Supervision and progress. Recommended. Maintain a dated meeting log, decision register and change record. After each material change, identify which claims, methods, artefacts and declarations must also be revised."
"Manuscript scope and content. Mandatory. A bachelor’s thesis may have a maximum of 40 A4 pages. A master’s dissertation may have a maximum of 50 A4 pages. Each must include the state of knowledge, research methodology, personal contributions and a bibliography; the master’s regulation specifies a selective bibliography. The content must be original. Current local instructions may further specify layout and the treatment of annexes. [Authority: A1, Art. 12; A2, Art. 14. Verified 23 August 2026.]","Manuscript scope and content. Recommended. Treat the page limit as a ceiling, not a target. Use a claim–evidence map to remove material that neither answers the question nor supports the contribution. Verify locally whether annexes are included in the limit."
"Research integrity, data and rights. Mandatory. Submit original work and do not present copied, purchased or falsified work under false authorship. Do not use generative AI to fabricate research data or conceal plagiarism. Do not transmit personal, internal, unpublished research or confidential information to external, public or institutionally unvalidated generative-AI tools. [Authority: A1, Art. 12(2) and (5)–(7); A2, Art. 14(2) and (5)–(7); A3, §§3 and 6.2. Verified 23 August 2026.]","Research integrity, data and rights. Recommended. Retain provenance, consent, licence and permission evidence for every non-original object. Separate the right to examine a work from any right to publish or redistribute it."
"Generative AI. Mandatory. Declare whether generative AI was used. For a final degree work, insert the current official declaration immediately after Contents and submit a separate copy bearing a handwritten signature at registration. Disclose substantial use, critically evaluate every output, verify facts, sources and references and retain responsibility for the final content. A generative-AI tool cannot be listed as an author. [Authority: A3, §§3, 4.3, 5.2, 6.1, 6.3 and 8; A4–A5. Verified 23 August 2026.]","Generative AI. Recommended. Maintain a TRACE record of the tool, purpose, relevant input and output, verification, retained change and date. Do not treat fluent wording, generated references or executable-looking code as verified evidence."
"Version identity. Mandatory. The file uploaded for similarity checking, the complete copy sent through the current departmental channel and the copy presented to the examination committee must have the same content. The final title must match the approved title and current institutional records. [Authority: A1, Art. 5(3); A2, Art. 5(3); A4–A5. Verified 23 August 2026.]","Version identity. Recommended. Create one release candidate, assign a version and SHA-256 digest, then generate every required derivative from that frozen source. Compare text, figures, tables, references and declarations before dispatch."
"Similarity review. Mandatory. Every ASE bachelor’s thesis and master’s dissertation is checked before defence. Upload within the official window and obtain the supervisor’s formal admission or rejection decision. The 30% and 5% coefficients are recommended alert levels, not automatic findings of plagiarism; the supervisor must analyse the report. [Authority: A1, Art. 5(4)–(5) and Art. 12(4); A2, Art. 5(4)–(5) and Art. 14(4); A6. Verified 23 August 2026.]","Similarity review. Recommended. Inspect the report at passage level. Repair attribution, quotation, paraphrase and source-record defects rather than optimising mechanically for a percentage."
"Registration file. Mandatory. Register only after the work has passed the required upload, review and confirmation steps. Use the current application and declarations, provide the current supporting evidence and preserve confirmation of receipt or registration. Incomplete files are not accepted. Exact documents, signatures, channels, filenames, fees and physical locations are session-specific. [Authority: A1, Art. 5; A2, Art. 5; A4–A6. Verified 23 August 2026.]","Registration file. Recommended. Build the file from the live official checklist, not from a previous cohort’s folder. Run an independent completeness check against the current source on the day of submission."
"Defence route. Mandatory. The bachelor’s examination has two separately marked oral tests, each limited to 15 minutes under the current regulation: fundamental and specialist knowledge, then presentation and defence of the thesis. The final average must be at least 6.00 and each test at least 5. The master’s examination has one public oral presentation and defence, with a final average of at least 6.00; the cited regulation does not prescribe a universal presentation duration. [Authority: A1, Arts 8 and 11; A2, Arts 8 and 11; A4–A5. Verified 23 August 2026.]","Defence route. Recommended. Prepare a claim-centred presentation and rehearse a short answer to each predictable challenge: question, method, evidence, contribution, limitation, ethics, AI use and reproducibility."
"Exceptional or previous-cohort route. Conditional. Where an officially defined trigger applies — for example a previous cohort, an expired institutional account, a title or supervisor change or another programme-specific exception — follow the route and evidence prescribed for that status. Do not reuse a current-cohort or prior-session package by analogy. [Authority: A1, Arts 5 and 9; A2, Arts 5 and 9; A4–A6. Verified 23 August 2026.]","Exceptional or previous-cohort route. Recommended. Open a conditional-case record naming the trigger, owner, written decision, deadline and affected artefacts. Close it only when the supporting evidence has been retained."
