object_type,object_id,caption,book_location,current_book_disposition,target_disposition,primary_companion_path,editable_paths,fallback_or_data_path,rights_status,coverage_status
figure,Figure 1.1,Figure 1.1. Evidence-to-defence architecture.,,retain in book,retain in book; released companion figure set provides editable and fallback forms,figures/02_SVG_PUBLICATION_VECTOR/Figure_1_1.svg,figures/01_ODG_NATIVE_EDITABLE/Figure_1_1.odg,figures/04_PNG_600PPI_FALLBACK/Figure_1_1.png,CC BY 4.0 for companion figure resources; associated-book rights remain separate,COVERED
table,Table 1.1,Table 1.1. Four deliverables that may share a topic but require different evidence.,1.2 What are you actually preparing?,present in v3.9.0,retain in book; templates provide editable operational counterpart,companion/04_TEMPLATES_FULL/PROJECT_START_PACK_FULL.csv,,companion/04_TEMPLATES_FULL/PROJECT_START_PACK_FULL.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
table,Table 1.2,Table 1.2. The eight inquiry routes and their immediate evidence obligations.,1.3 Choose a provisional inquiry route,present in v3.9.0,retain in book; templates provide editable operational counterpart,companion/04_TEMPLATES_FULL/PROJECT_START_PACK_FULL.csv,,companion/04_TEMPLATES_FULL/PROJECT_START_PACK_FULL.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
table,Table 1.3,"Table 1.3. Bachelor’s and master’s work: the same evidential spine, different expectations.","1.4 Bachelor’s and master’s work: the same evidential spine, different expectations",present in v3.9.0,retain in book; templates provide editable operational counterpart,companion/04_TEMPLATES_FULL/PROJECT_START_PACK_FULL.csv,,companion/04_TEMPLATES_FULL/PROJECT_START_PACK_FULL.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
figure,Figure 1.2,"Figure 1.2. Advice, authority and authorship map.",1.5 Who owns which decision?,retain in book,retain in book; released companion figure set provides editable and fallback forms,figures/02_SVG_PUBLICATION_VECTOR/Figure_1_2.svg,figures/01_ODG_NATIVE_EDITABLE/Figure_1_2.odg,figures/04_PNG_600PPI_FALLBACK/Figure_1_2.png,CC BY 4.0 for companion figure resources; associated-book rights remain separate,COVERED
table,Table 1.4,Table 1.4. Alex’s provisional Starting Position and Route Card.,1.8 Build your Project Start Pack,present in v3.9.0,retain in book; templates provide editable operational counterpart,companion/04_TEMPLATES_FULL/PROJECT_START_PACK_FULL.csv,,companion/04_TEMPLATES_FULL/PROJECT_START_PACK_FULL.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
figure,Figure 2.1,Figure 2.1. Topic decision path.,1.8 Build your Project Start Pack,retain in book,retain in book; released companion figure set provides editable and fallback forms,figures/02_SVG_PUBLICATION_VECTOR/Figure_2_1.svg,figures/01_ODG_NATIVE_EDITABLE/Figure_2_1.odg,figures/04_PNG_600PPI_FALLBACK/Figure_2_1.png,CC BY 4.0 for companion figure resources; associated-book rights remain separate,COVERED
table,Table 2.1,Table 2.1. Eight objects that must not be confused.,2.3 Separate the topic from the problem and the solution,present in v3.9.0,retain in book; templates provide editable operational counterpart,companion/04_TEMPLATES_FULL/SCOPE_CANVAS_FULL.csv,,companion/04_TEMPLATES_FULL/SCOPE_CANVAS_FULL.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
figure,Figure 2.2,Figure 2.2. SCOPE framing canvas.,2.4 Use the SCOPE framing canvas,retain in book,retain in book; released companion figure set provides editable and fallback forms,figures/02_SVG_PUBLICATION_VECTOR/Figure_2_2.svg,figures/01_ODG_NATIVE_EDITABLE/Figure_2_2.odg,figures/04_PNG_600PPI_FALLBACK/Figure_2_2.png,CC BY 4.0 for companion figure resources; associated-book rights remain separate,COVERED
table,Table 2.2,Table 2.2. Question patterns and initial evidence obligations across eight inquiry routes.,2.5 Formulate the question and a provisional contribution,present in v3.9.0,retain in book; templates provide editable operational counterpart,companion/04_TEMPLATES_FULL/SCOPE_CANVAS_FULL.csv,,companion/04_TEMPLATES_FULL/SCOPE_CANVAS_FULL.csv,CC BY 4.0 for companion resource; associated-book rights remain separate,COVERED
