figure_code,title,alt_text,status
F11,Figure 1.1  Evidence-to-defence architecture,"Nine-stage evidence-to-defence workflow. An inquiry route enters the Project Start Pack, then passes through the Problem, Evidence, Design, Execution, Claim, Argument, Editorial and Defence Readiness gates. TRACE operates transversally, and a failed condition reopens the responsible earlier gate.",PASS
F12,"Figure 1.2  Advice, authority and authorship map","The student is central and remains responsible for authorship, verification, disclosure and defence. Supervisor advice, institutional authority, external organisational access and AI candidate assistance support the student without transferring responsibility.",PASS
F21,Figure 2.1  Topic decision path,"Topic selection pathway from interest to a bounded problem, SCOPE, a route-specific question and feasibility evidence. A decision then leads to Continue, Narrow, Pivot or Stop, with only Continue and a scope-updated Narrow outcome progressing to the Problem Gate.",PASS
F22,Figure 2.2  SCOPE framing canvas,"SCOPE framing canvas with five components: Scope, Constraints, Output, Proof and Exclusions. These converge on a tractable project, supported by an evidence basis and accompanied by explicitly unresolved uncertainty.",PASS
F31,Figure 3.1  Evidence identity chain,"Evidence identity chain from search route and discovery record to a verified source object and a publication-to-study identity map. An unresolved identity is repaired before use; a resolved source is read, appraised and connected to a project decision and claim-linked evidence.",PASS
F32,Figure 3.2  CORPUS records cycle,"CORPUS records cycle: Collect, Organise, Read, Probe, Use and Synthesise. Each activity produces a named record, and synthesis produces the Evidence Base Pack. The cycle returns to Collect only when evidence gaps remain.",PASS
F41,Figure 4.1  Reversible driver-to-test chain,"Reversible driver-to-test chain. Evidence and authority define a driver and boundary, alternatives and criteria lead to a decision and trigger, a protocol artefact is early-tested, and the result either reopens an upstream decision, qualifies the boundary or retains the current version.",PASS
F42,Figure 4.2  DECIDE conditional commitment cycle,"Six-step DECIDE cycle around a conditional commitment: Define, Establish, Construct, Inspect, Decide and Test. Early-test results retain, qualify or reopen the current commitment.",PASS
F51,Figure 5.1  Candidate-to-admission chain,"Candidate-to-admission chain. An approved commitment becomes a bounded work unit with a frozen start state and candidate output. Primary artefact inspection leads to repair or repeat, local acceptance into the execution dossier or rejection and quarantine. Local admission is not thesis proof.",PASS
F52,Figure 5.2  Bounded execution loop,"Bounded execution loop: Authorise and bound, Freeze state, pass a Safety Gate, Produce a candidate, Inspect and dispose, then Record and recover. Unsafe work stops for authority, and failed or rejected work remains in the record.",PASS
F61,Figure 6.1  Evidence-to-claim ladder,"Nine-level evidence-to-claim ladder: Accepted work, Observe, Metric, Compare, Evidence, Interpret, Claim boundary, Bounded claim and Contribution. The figure prohibits output-to-claim and metric-to-contribution shortcuts.",PASS
F62,Figure 6.2  Claim stress test and gate returns,"Claim stress test with six operations: Bound the claim, Match the route, Characterise uncertainty, Challenge counter-evidence, Reproduce or audit, and Decide the claim with a fallback. Outcomes are retain or qualify, repair or return, and reopen or suspend.",PASS
F71,Figure 7.1  Gate records to thesis argument,"Gate records provide authorised inputs to an answer spine comprising question, route or method, evidence or result, boundary and contribution. A shared reuse bus connects spine elements to Introduction, Knowledge, Method, Results and Discussion, showing that records are sources rather than chapters.",PASS
F72,Figure 7.2  Section and paragraph contracts,"Two writing controls. The section contract moves through Promise, Evidence, Reasoning, Boundary and Hand-off. The paragraph reasoning test moves through Claim, Evidence, Reasoning and Boundary, with a deletion test for material that changes nothing essential.",PASS
F81,Figure 8.1  Semantic revision and proof control,"Two separate closure lanes. Semantic closure checks Study, Macro, Meso and Micro revision for identity preservation, returning to the responsible gate if not the same. Technical proof checks DOCX, story ranges, PDF and pages, repairing and repeating if the render is not clean.",PASS
F82,Figure 8.2  One-study consistency lock,"One authoritative study controls three derivative layers: headline, manuscript and package. An equivalence decision either locks the derivatives or repairs the earliest divergent layer. Compression may shorten detail but may not alter study identity or claim scope.",PASS
F91,Figure 9.1  Closure to defence readiness,"Defence-readiness chain from Closure through current Authority, Record and Performance set to a pass decision. Readiness checks cover Rules, Files, Disclosure, Evidence and Recovery, while one bounded contribution must remain stable.",PASS
F92,Figure 9.2  One contribution across interfaces,"One bounded contribution is represented across four non-substitutable interfaces: the institutional record records it, the private evidence package preserves it, the demonstration and slides demonstrate it, and oral answers defend it. No interface can repair a contradiction in another.",PASS
