record_id,filename,origin,phase14a_issue,phase14b_resolution,header_changed,field_count,counterpart,semantic_status
MIN-CLAIM_EVIDENCE_MAP_MIN,CLAIM_EVIDENCE_MAP_MIN.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,9,CLAIM_EVIDENCE_MAP_FULL.csv,PASS — released and semantically validated
MIN-CORPUS_LEDGER_MIN,CORPUS_LEDGER_MIN.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,11,CORPUS_LEDGER_FULL.csv,PASS — released and semantically validated
MIN-DECIDE_RECORD_MIN,DECIDE_RECORD_MIN.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,12,DECIDE_RECORD_FULL.csv,PASS — released and semantically validated
MIN-DEFENCE_QUESTION_MATRIX_MIN,DEFENCE_QUESTION_MATRIX_MIN.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,9,DEFENCE_QUESTION_MATRIX_FULL.csv,PASS — released and semantically validated
MIN-DEMONSTRATION_RUNBOOK_MIN,DEMONSTRATION_RUNBOOK_MIN.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,11,DEMONSTRATION_RUNBOOK_FULL.csv,PASS — released and semantically validated
MIN-FEASIBILITY_SPRINT_RECORD_MIN,FEASIBILITY_SPRINT_RECORD_MIN.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,8,FEASIBILITY_SPRINT_RECORD_FULL.csv,PASS — released and semantically validated
MIN-GATE_RECORD_MIN,GATE_RECORD_MIN.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,11,GATE_RECORD_FULL.csv,PASS — released and semantically validated
MIN-PROJECT_START_PACK_MIN,PROJECT_START_PACK_MIN.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,10,PROJECT_START_PACK_FULL.csv,PASS — released and semantically validated
MIN-ROUTE_SELECTOR_MIN,ROUTE_SELECTOR_MIN.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,10,ROUTE_SELECTOR_FULL.csv,PASS — released and semantically validated
MIN-SCOPE_CANVAS_MIN,SCOPE_CANVAS_MIN.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,9,SCOPE_CANVAS_FULL.csv,PASS — released and semantically validated
MIN-TRACE_RECORD_MIN,TRACE_RECORD_MIN.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,11,TRACE_RECORD_FULL.csv,PASS — released and semantically validated
MIN-VERSION_MANIFEST_RECORD_MIN,VERSION_MANIFEST_RECORD_MIN.csv,validated predecessor template,"Template was present but lacked a field-level semantic contract, route scope, explicit book anchors and semantic validation.","Retained the stable CSV schema, defined each field, linked the record to gates and book anchors, assigned controlled values only where field context warrants them and added semantic validation.",No,8,VERSION_MANIFEST_RECORD_FULL.csv,PASS — released and semantically validated
