control_id,control,expected,observed,status
P14B-001,Minimum template count,12,12,PASS
P14B-002,Full template count,40,40,PASS
P14B-003,Template semantic audit coverage,52,52,PASS
P14B-004,Field dictionary coverage,>600 fields,644,PASS
P14B-005,Gate registry,9 gates,9,PASS
P14B-006,Criterion-level gate registry,>=55 criteria,59,PASS
P14B-007,Route kits,8,8,PASS
P14B-008,Route gate-plan rows,72,72,PASS
P14B-009,Public release hold,active,active,PASS
P14B-010,Authoritative book mutation,none,none,PASS
P14B-011,External repository mutation,none,none,PASS
P14B-012,Schema-aligned completed worked-example records,64,64,PASS
P14B-013,Custom route profiles,8,8,PASS
P14B-014,Blank cells in completed worked-example records,0,0,PASS
P14B-015,Controlled-vocabulary violations in worked examples,0,0,PASS
P14B-016,Contextual field-level controlled values,no record-level leakage,validator enforced,PASS
