gate_id,gate,criterion_no,criterion,passing_evidence,repair_or_return,source_anchor,source_status
G0,Project Start Pack / opening control,1,Assessed product and route,"Exact product, dominant route and unit of analysis are explicit.",Remain in orientation and complete the route selector.,"Chapter 1, Sections 1.1–1.8",Authorial synthesis from current chapter; no official status asserted.
G0,Project Start Pack / opening control,2,"Access, authority and ownership","Access boundary, authority map, workspace, owner and first inspectable deliverable are recorded.",Repair access or authority; do not claim project start.,"Chapter 1, Sections 1.1–1.8",Authorial synthesis from current chapter; no official status asserted.
G1,Problem Gate,1,Problem and consequence,A concrete problem and affected context remain after removing the technology label.,Rewrite SCOPE or stop the topic.,"Chapter 2, Sections 2.1–2.8",Authorial synthesis from current chapter; no official status asserted.
G1,Problem Gate,2,Evidence and access feasibility,The intended evidence can be obtained lawfully within the available time and resources.,"Narrow, pivot, await authority or stop.","Chapter 2, Sections 2.1–2.8",Authorial synthesis from current chapter; no official status asserted.
G1,Problem Gate,3,Route-aligned question and contribution,"The question, route, evidence obligation and smallest contribution are mutually compatible.",Change the route or question and repeat the feasibility sprint.,"Chapter 2, Sections 2.1–2.8",Authorial synthesis from current chapter; no official status asserted.
G1,Problem Gate,4,Adversarial feasibility result,"The most expensive uncertainty has been tested and the continue, narrow, pivot or stop consequence is recorded.",Do not proceed on intention alone.,"Chapter 2, Sections 2.1–2.8",Authorial synthesis from current chapter; no official status asserted.
G2,Evidence Gate,1,Question translated into evidence needs,Claim–Evidence Map identifies the evidence required for each consequential claim.,Narrow the question or return to the Problem Gate.,"Table 3.3. Chapter 3, Sections 3.1–3.8",Extracted from authoritative master v3.9.0.
G2,Evidence Gate,2,Search routes documented and fit,"Executed queries, systems, dates, revisions, known-item checks and citation routes.","Add terms, systems or sensitivity checks.","Table 3.3. Chapter 3, Sections 3.1–3.8",Extracted from authoritative master v3.9.0.
G2,Evidence Gate,3,"Identities, versions and study clusters resolved","Ledger records source identity, access, duplicates, related publications and authoritative versions.","Merge, replace, defer or map records correctly.","Table 3.3. Chapter 3, Sections 3.1–3.8",Extracted from authoritative master v3.9.0.
G2,Evidence Gate,4,Load-bearing sources read and anchored,Core notes retain original-source passages or technical anchors and explicit non-support.,Read the original and revise unsupported wording.,"Table 3.3. Chapter 3, Sections 3.1–3.8",Extracted from authoritative master v3.9.0.
