field,entry,evidence_or_basis,review_status,guidance
Thesis answer in one sentence,,,,Bounded answer.
Problem,,,,Why the answer matters.
Knowledge position,,,,What the verified literature permits.
Method actually executed,,,,Not only planned method.
Evidence body,,,,Named objects.
Principal claim,,,,Exact wording.
Uncertainty and limitation,,,,Must constrain the claim.
Contribution,,,,What the work adds.
Rejected stronger answer,,,,Wording not supported.
Gate records used,,,,Stable IDs.
Reader hand-off,,,,How the answer is distributed through sections.
Version and reviewer,,,,Lifecycle record.
