Stage and gate,Bachelor’s thesis: official route,Master’s dissertation: official route
1. Establish route and authority,"Mandatory. Confirm programme, candidate status and session, including whether the route concerns the current cohort, a previous cohort, an additional year, mobility or another institution. Use the bachelor’s regulation plus the current ASE and CSIE source set. Recommended. Save the dated authority record before relying on an operational instruction. Authority: B1, B4, B5, B7, B10 and B11.","Mandatory. Confirm programme, candidate status and session, including whether the route concerns the current cohort, a previous cohort, an additional year, mobility or another institution. Use the master’s regulation plus the current ASE and CSIE source set. Recommended. Save the dated authority record before relying on an operational instruction. Authority: B2, B4, B6, B8, B10 and B12."
2. Approve topic and supervisor,"Mandatory. Obtain approval of the topic and scientific supervisor at least eight months before the examination, using the route and deadline in force. Recommended. Retain the approved title, supervisor identity, approval date and controlling source. Authority: B1 and B4.","Mandatory. Obtain approval of the topic and scientific supervisor at least six months before the examination, using the route and deadline in force. Recommended. Retain the approved title, supervisor identity, approval date and controlling source. Authority: B2 and B4."
3. Work under documented supervision,"Mandatory. Develop the work under scientific supervision and comply with valid departmental and supervisor instructions. Recommended. Maintain a dated decision log, meeting record and evidence register so that scope changes, approvals and unresolved issues remain traceable. Authority: B1.","Mandatory. Develop the work under scientific supervision and comply with valid departmental and supervisor instructions. Recommended. Maintain a dated decision log, meeting record and evidence register so that scope changes, approvals and unresolved issues remain traceable. Authority: B2."
4. Control title or supervisor changes,Conditional. A justified title change requires the approvals specified by the regulation and must be requested at least two months before the examination. A supervisor change requires the prescribed approvals at least three months before the examination while preserving the approved thematic frame. Recommended. Do not implement either change until the written approval is retained. Authority: B1 and B4.,Conditional. A justified title change requires the approvals specified by the regulation and must be requested at least two months before the examination. A supervisor change requires the prescribed approvals at least three months before the examination while preserving the approved thematic frame. Recommended. Do not implement either change until the written approval is retained. Authority: B2 and B4.
"5. Freeze title, content and declarations","Mandatory. Before similarity review, reconcile the exact title across the approved record, manuscript and current forms. Finalise the declaration concerning use or non-use of generative AI in the position required by the current guidance and prepare the distinct signed copy required for registration. Recommended. Compute and retain a hash of the candidate final PDF. Authority: B1 and B3.","Mandatory. Before similarity review, reconcile the exact title across the approved record, manuscript and current forms. Finalise the declaration concerning use or non-use of generative AI in the position required by the current guidance and prepare the distinct signed copy required for registration. Recommended. Compute and retain a hash of the candidate final PDF. Authority: B2 and B3."
6. Submit for similarity review,"Mandatory. Upload the work through the current institutional route within the official window. Missing the window can prevent admission to that session. The reported coefficients are recommended alert levels that require contextual academic analysis, not automatic plagiarism verdicts. Recommended. Retain the upload receipt, report version and reviewed file hash. Authority: B1, B4 and B9.","Mandatory. Upload the work through the current institutional route within the official window. Missing the window can prevent admission to that session. The reported coefficients are recommended alert levels that require contextual academic analysis, not automatic plagiarism verdicts. Recommended. Retain the upload receipt, report version and reviewed file hash. Authority: B2, B4 and B9."
7. Obtain supervisor decision,"Mandatory. The supervisor reviews the work and similarity report in context and records the current admission decision. A technical percentage does not replace this academic judgement. Recommended. Resolve cited passages, quotations, references and false positives before the final decision, then retain the dated decision and report. Authority: B1.","Mandatory. The supervisor reviews the work and similarity report in context and records the current admission decision. A technical percentage does not replace this academic judgement. Recommended. Resolve cited passages, quotations, references and false positives before the final decision, then retain the dated decision and report. Authority: B2."
8. Transfer the validated final work,"Mandatory. Before registration, transmit the validated final PDF through the official current channel and retain confirmation. The version reviewed for similarity, transferred for registration and presented at the examination must have identical content. Recommended. Verify identity by hash and preserve both the sent file and receipt. Authority: B1, B4, B5, B7 and, when triggered, B11.","Mandatory. Before registration, transmit the validated final PDF through the official current channel and retain confirmation. The version reviewed for similarity, transferred for registration and presented at the examination must have identical content. Recommended. Verify identity by hash and preserve both the sent file and receipt. Authority: B2, B4, B6, B8 and, when triggered, B12."
9. Complete registration dossier,"Mandatory. Register within the current window using the complete dossier and channel in force; incomplete dossiers are not accepted. Conditional. Previous-cohort, additional-year, mobility or external candidates may require extra documents, approvals or fees. Recommended. Use a dated dossier inventory and retain proof of submission. Authority: B1, B4, B5, B7 and, when triggered, B11.","Mandatory. Register within the current window using the complete dossier and channel in force; incomplete dossiers are not accepted. Conditional. Previous-cohort, additional-year, mobility or external candidates may require extra documents, approvals or fees. Recommended. Use a dated dossier inventory and retain proof of submission. Authority: B2, B4, B6, B8 and, when triggered, B12."
10. Confirm admission and timetable,"Mandatory. Obtain or verify registration confirmation, the commission, individual timetable, place or mode and the current bibliography and topics for the knowledge test. Recommended. Recheck these items immediately before travel or attendance and preserve the last official version. Authority: B1, B4, B5, B7 and, when triggered, B11.","Mandatory. Obtain or verify registration confirmation, the commission, individual timetable and place or mode. Use only a duration or presentation format expressly stated by the current competent source; the general regulation does not create a universal 15-minute limit. Recommended. Recheck the timetable immediately before attendance. Authority: B2, B4, B6, B8 and, when triggered, B12."
11. Sit the examination,Mandatory. Complete two oral tests: evaluation of fundamental and specialist knowledge and presentation and defence of the thesis. The current regulation allocates up to 15 minutes to each test. Each test must receive at least 5.00 and the overall examination average must be at least 6.00. Authority: B1.,Mandatory. Complete the public oral presentation and defence of the dissertation as one examination test. The overall average must be at least 6.00. Do not import the bachelor’s two-test structure or its time limit into this route. Authority: B2.
12. Record result and close evidence,"Mandatory. Verify the result through the official channel. Under the current regulation, results are communicated within no more than 48 hours and cannot be appealed. Recommended. Retain the result record, final submitted file, key receipts and the resolved authority record as the administrative closeout set. Authority: B1.","Mandatory. Verify the result through the official channel. Under the current regulation, results are communicated within no more than 48 hours and cannot be appealed. Recommended. Retain the result record, final submitted file, key receipts and the resolved authority record as the administrative closeout set. Authority: B2."
