migration_id,appendix,source_kind,source_locator,section,style,source_text,planned_disposition,retain_in_book,target,volatile,status,companion_path,companion_locator,companion_coverage_status,normalised_match_score,source_verification_status,book_v3_8_action,phase14c_closure_status,closure_basis
APX-P1390,A,paragraph,P1390,,Heading 1,Appendix A. Quick Guide: Mandatory and Recommended,REMOVE_PRINTED_HEADING_CREATE_DC_LANDING_PAGE,NO,DC-A module landing page,MIXED,BOOK_v3.9.0_INTEGRATION_COMPLETE,companion/08_INSTITUTIONAL_LINKS/DC_A_REQUIREMENTS_AND_RECOMMENDATIONS.md,line 1,ADAPTED_NARRATIVE_PRESENT,1.000,SOURCE SET RECHECKED 2026-08-23; VOLATILE VALUES NOT FROZEN,DISPOSITION_COMPLETED_IN_BOOK_v3.9.0,COMPANION_MIGRATION_CLOSED; BOOK_v3.9.0_INTEGRATION_CLOSED,Adapted module prose located by normalised text comparison (score 1.000); original source text retained in this register.
APX-P1391,A,paragraph,P1391,,Chapter Lead,A dated control aid for degree-completion work,MIGRATE_TO_DIGITAL_MODULE,NO_OR_SUMMARY_ONLY,DC-A,YES,BOOK_v3.9.0_INTEGRATION_COMPLETE,companion/08_INSTITUTIONAL_LINKS/DC_A_REQUIREMENTS_AND_RECOMMENDATIONS.md,line 11,ADAPTED_NARRATIVE_PRESENT,1.000,SOURCE SET RECHECKED 2026-08-23; VOLATILE VALUES NOT FROZEN,DISPOSITION_COMPLETED_IN_BOOK_v3.9.0,COMPANION_MIGRATION_CLOSED; BOOK_v3.9.0_INTEGRATION_CLOSED,Adapted module prose located by normalised text comparison (score 1.000); original source text retained in this register.
APX-P1392,A,paragraph,P1392,,First Paragraph,"This appendix translates the current finalisation rules of the Bucharest University of Economic Studies (ASE) and the current operational pages of the Faculty of Cybernetics, Statistics and Economic Informatics (CSIE) into a compact control aid. The official sources were checked on 21 August 2026. Current regulations, programme instructions, forms, calendars and valid written decisions prevail over this appendix whenever they have been amended or specify a narrower route. Students at another institution must replace the ASE/CSIE authority set with their own current official sources.",MOVE_TO_DIGITAL_SOURCE_AND_VOLATILITY_REGISTER,NO,ASE/CSIE source and volatility register,YES,BOOK_v3.9.0_INTEGRATION_COMPLETE,companion/08_INSTITUTIONAL_LINKS/DC_A_REQUIREMENTS_AND_RECOMMENDATIONS.md,line 13,ADAPTED_NARRATIVE_PRESENT,1.000,SOURCE SET RECHECKED 2026-08-23; VOLATILE VALUES NOT FROZEN,DISPOSITION_COMPLETED_IN_BOOK_v3.9.0,COMPANION_MIGRATION_CLOSED; BOOK_v3.9.0_INTEGRATION_CLOSED,Adapted module prose located by normalised text comparison (score 1.000); original source text retained in this register.
APX-P1393,A,paragraph,P1393,,Body Text,"Mandatory identifies a requirement directly supported by a current official source for the stated ASE/CSIE route. Conditional identifies an official requirement that applies only when its stated trigger is present. Recommended identifies an authorial risk-control practice from this guide, not an institutional requirement. A recommendation does not become mandatory merely because it appears in the book.",REINTEGRATE_STABLE_PRINCIPLE_AND_MIGRATE_OPERATIONAL_DETAIL,YES_SELECTIVE,Front matter and/or Chapter 9 plus DC-A,YES,BOOK_v3.9.0_INTEGRATION_COMPLETE,companion/08_INSTITUTIONAL_LINKS/DC_A_REQUIREMENTS_AND_RECOMMENDATIONS.md,line 15,ADAPTED_NARRATIVE_PRESENT,1.000,SOURCE SET RECHECKED 2026-08-23; VOLATILE VALUES NOT FROZEN,DISPOSITION_COMPLETED_IN_BOOK_v3.9.0,COMPANION_MIGRATION_CLOSED; BOOK_v3.9.0_INTEGRATION_CLOSED,Adapted module prose located by normalised text comparison (score 1.000); original source text retained in this register.
APX-P1394,A,paragraph,P1394,,Body Text,"Table A.1 separates official obligations from authorial controls. Each mandatory or conditional entry ends with the controlling source code and verification date. Session dates, room numbers, contact addresses, platform windows, file-naming strings, fees and current form labels are deliberately omitted because they are volatile and belong in the applicable official calendar, page or form.",MIGRATE_TO_DIGITAL_MODULE,NO_OR_SUMMARY_ONLY,DC-A,YES,BOOK_v3.9.0_INTEGRATION_COMPLETE,companion/08_INSTITUTIONAL_LINKS/DC_A_REQUIREMENTS_AND_RECOMMENDATIONS.md,line 17,ADAPTED_NARRATIVE_PRESENT,1.000,SOURCE SET RECHECKED 2026-08-23; VOLATILE VALUES NOT FROZEN,DISPOSITION_COMPLETED_IN_BOOK_v3.9.0,COMPANION_MIGRATION_CLOSED; BOOK_v3.9.0_INTEGRATION_CLOSED,Adapted module prose located by normalised text comparison (score 1.000); original source text retained in this register.
APX-P1395,A,paragraph,P1395,,Table Caption,Table A.1. Quick guide to official obligations and authorial controls,MIGRATE_TABLE_AS_EDITABLE_RECORD,NO_TABLE,DC-A CSV/DOCX record,MIXED,BOOK_v3.9.0_INTEGRATION_COMPLETE,companion/08_INSTITUTIONAL_LINKS/DC_A_REQUIREMENTS_AND_RECOMMENDATIONS.md,line 19,ADAPTED_NARRATIVE_PRESENT,1.000,SOURCE SET RECHECKED 2026-08-23; VOLATILE VALUES NOT FROZEN,DISPOSITION_COMPLETED_IN_BOOK_v3.9.0,COMPANION_MIGRATION_CLOSED; BOOK_v3.9.0_INTEGRATION_CLOSED,Adapted module prose located by normalised text comparison (score 1.000); original source text retained in this register.
APX-P1396,A,paragraph,P1396,,Source Note,"Note. Source codes are resolved in the Appendix source-code concordance under References. The date records the verification performed for this appendix, not a guarantee that the source remains unchanged after that date.",MOVE_TO_DIGITAL_SOURCE_AND_VOLATILITY_REGISTER,NO,ASE/CSIE source and volatility register,YES,BOOK_v3.9.0_INTEGRATION_COMPLETE,companion/08_INSTITUTIONAL_LINKS/DC_A_REQUIREMENTS_AND_RECOMMENDATIONS.md,line 23,ADAPTED_NARRATIVE_PRESENT,1.000,SOURCE SET RECHECKED 2026-08-23; VOLATILE VALUES NOT FROZEN,DISPOSITION_COMPLETED_IN_BOOK_v3.9.0,COMPANION_MIGRATION_CLOSED; BOOK_v3.9.0_INTEGRATION_CLOSED,Adapted module prose located by normalised text comparison (score 1.000); original source text retained in this register.
APX-P1397,A,paragraph,P1397,,First Paragraph,"The table is intentionally stricter about source control than about interface detail. A current faculty page may operationalise a regulation through a platform, form or departmental channel that did not exist when the regulation was issued. That implementation must be followed when it is current and compatible with the governing rule. An apparent conflict is not resolved by memory, a saved message or a previous cohort’s package.",REINTEGRATE_STABLE_PRINCIPLE_AND_MIGRATE_OPERATIONAL_DETAIL,YES_SELECTIVE,Front matter and/or Chapter 9 plus DC-A,YES,BOOK_v3.9.0_INTEGRATION_COMPLETE,companion/08_INSTITUTIONAL_LINKS/DC_A_REQUIREMENTS_AND_RECOMMENDATIONS.md,line 25,ADAPTED_NARRATIVE_PRESENT,1.000,SOURCE SET RECHECKED 2026-08-23; VOLATILE VALUES NOT FROZEN,DISPOSITION_COMPLETED_IN_BOOK_v3.9.0,COMPANION_MIGRATION_CLOSED; BOOK_v3.9.0_INTEGRATION_CLOSED,Adapted module prose located by normalised text comparison (score 1.000); original source text retained in this register.
APX-P1398,A,paragraph,P1398,,Body Text,"A student should therefore not ask only whether an item is present. The stronger control question is whether the item is required for the correct route, supported by a current authority, identical across all submitted copies where identity is required and backed by evidence that can be produced under examination. Administrative completion without version identity is defective. Scientific quality without completion of the current official route is not eligible for examination.",REINTEGRATE_STABLE_PRINCIPLE_AND_MIGRATE_OPERATIONAL_DETAIL,YES_SELECTIVE,Front matter and/or Chapter 9 plus DC-A,MIXED,BOOK_v3.9.0_INTEGRATION_COMPLETE,companion/08_INSTITUTIONAL_LINKS/DC_A_REQUIREMENTS_AND_RECOMMENDATIONS.md,line 27,ADAPTED_NARRATIVE_PRESENT,1.000,SOURCE SET RECHECKED 2026-08-23; VOLATILE VALUES NOT FROZEN,DISPOSITION_COMPLETED_IN_BOOK_v3.9.0,COMPANION_MIGRATION_CLOSED; BOOK_v3.9.0_INTEGRATION_CLOSED,Adapted module prose located by normalised text comparison (score 1.000); original source text retained in this register.
APX-P1400,B,paragraph,P1400,,Heading 1,Appendix B. Official Process and Calendar,REMOVE_PRINTED_HEADING_CREATE_DC_LANDING_PAGE,NO,DC-B module landing page,YES,BOOK_v3.9.0_INTEGRATION_COMPLETE,companion/08_INSTITUTIONAL_LINKS/DC_B_OFFICIAL_ROUTE_AND_CURRENT_SESSION.md,line 1,ADAPTED_NARRATIVE_PRESENT,1.000,SOURCE SET RECHECKED 2026-08-23; VOLATILE VALUES NOT FROZEN,DISPOSITION_COMPLETED_IN_BOOK_v3.9.0,COMPANION_MIGRATION_CLOSED; BOOK_v3.9.0_INTEGRATION_CLOSED,Adapted module prose located by normalised text comparison (score 1.000); original source text retained in this register.
