Current-session item,Official source and revision,Operational value to record,Status and retained evidence
Applicable regulation and supersession check,"Record the exact title, decision number, date and latest Senate Monitor check.","Record whether a later amendment, replacement or correction exists.",CONFIRMED only after dated check; retain the regulation and monitor evidence.
Candidate status and route,"Record faculty, programme, bachelor’s or master’s route, cohort status and session.","Record any conditional mobility, previous-cohort, additional-year or external-institution route.",Retain the status evidence and the source that activates any condition.
Topic and supervisor approval,"Record approved title, supervisor, request route, approval date and deadline source.",Record the approval or the unresolved action required.,Retain the approved request and authoritative title string.
Conditional title or supervisor change,Record the applicable regulatory minimum and the current-session operational deadline.,"Record justification, endorsements, approval and effect on the title record.",Use NOT APPLICABLE or retain the complete written approval chain.
Final file and declaration freeze,"Record exact title, final PDF name, hash and applicable declaration version.",Record placement of the declaration in the work and the distinct signed copy required for registration.,"Retain the frozen PDF, hash log and signed declaration copy."
Similarity-review window,"Record opening and closing date, time, time zone where relevant, platform and eligible account.","Record upload receipt, file hash, report identifier and supervisor-review deadline.",PENDING until the official window is released; retain receipt and report when CLOSED.
Supervisor decision,"Record decision vocabulary, decision date and controlling source.",Record corrections required before admission or the final admission decision.,Retain the dated decision and the analysed report.
Validated work transfer,"Record official recipient or channel, deadline and required file identity.","Record transmission date, receipt and hash match against the reviewed file.",CONFLICT if sources disagree on channel or deadline; do not guess.
Registration window and dossier,"Record opening and closing date, exact final-day cut-off, channel and complete dossier list.","Record conditional documents, approvals or fees without treating them as universal.","Retain dossier inventory, submission evidence and any written clarification."
Registration confirmation,"Record who confirms registration, by what channel and by when.","Record confirmation identifier, message or status and any defect requiring correction.",Not CLOSED until confirmation or equivalent official evidence is retained.
"Commission, timetable and examination material","Record commission, individual slot, place or mode and, for bachelor’s candidates, the current topics and bibliography.","Record the publication source, revision date and last pre-attendance check.",CONFLICT if two current sources disagree; retain the authoritative resolution.
Examination or defence,"Record official date, time, place or mode, structure and any route-specific presentation rule.",Record accessibility arrangements or other approved conditions where applicable.,Use only the current competent source; never infer missing values from another route.
Result and closeout set,"Record publication channel, result date and applicable final evidence.","Record final submitted file, receipts, approvals, result record and resolved authority log.",Mark CLOSED only when the retained set supports the complete route.
