field,entry,evidence_or_basis,review_status,guidance
Evaluation identifier,PREDICT-EVAL-01,Synthetic route-specific basis,accepted locally,Stable ID.
Minimum meaningful claim,"Within the declared synthetic corpus, the linear classifier improves macro-averaged held-out performance over the keyword baseline, but minority-class calibration and ambiguous-request errors remain unresolved.",Synthetic route-specific basis,accepted locally,Exact candidate wording.
Consequence if wrong,The project would overstate the route-specific contribution.,Synthetic route-specific basis,accepted locally,Why the claim deserves scrutiny.
Route and unit,"predictive or machine-learning study | One labelled request record with a frozen train, validation or held-out assignment.",Synthetic route-specific basis,accepted locally,Route-specific evaluation object.
Comparison or reference,"Keyword-rule baseline versus regularised linear classifier, with held-out evaluation, calibration and class-specific error analysis.",Synthetic route-specific basis,accepted locally,"Baseline, case, counterfactual, reference or synthesis basis."
Evidence body,"Within the declared synthetic corpus, the linear classifier improves macro-averaged held-out performance over the keyword baseline, but minority-class calibration and ambiguous-request errors remain unresolved.",Synthetic route-specific basis,accepted locally,All required evidence objects.
"Metrics, estimates or analytic outputs",Route-appropriate synthetic outputs only,Synthetic route-specific basis,accepted locally,With units and definitions.
Uncertainty,"Synthetic language, label design, split dependence, class imbalance and absence of distribution-shift testing.",Synthetic route-specific basis,accepted locally,"Statistical, numerical, interpretive, measurement or transfer."
Negative and counter-evidence,The minority class shows poor calibration and several ambiguous requests are confidently misrouted.,Synthetic route-specific basis,accepted locally,"Failures, null-compatible findings, negative cases or alternatives."
"Reproduction, audit or adversarial check","Verify label consistency, leakage controls, a trivial majority baseline and deterministic preprocessing before training.",Synthetic route-specific basis,accepted locally,Proportionate independent challenge.
Acceptance and narrowing rule,Accept only within the declared boundary; reject the stronger wording: The classifier can automate service routing in production.,Synthetic route-specific basis,accepted locally,How wording changes.
"Owner, reviewer, date and version",Student role | synthetic reviewer | 2026-08-23 | 1.0,Synthetic route-specific basis,accepted locally,Lifecycle record.
