field,entry,evidence_or_basis,review_status,guidance
Review context,,,,Institutional or publisher requirement.
Similarity report,,,,"Tool, date, version and scope."
Flagged overlap reviewed,,,,"Legitimate quotation, common phrasing, recycling or problem."
Attribution action,,,,Correction or justification.
Material AI uses,,,,TRACE identifiers.
Disclosure mapping,,,,Required declaration or manuscript statement.
Confidentiality check,,,,No prohibited inputs.
Independent verification,,,,"Sources, tests or primary artefacts."
Student semantic decisions,,,,Meaning-changing choices retained by student.
Oral ownership test,,,,"Can explain sources, method, results and limits."
Reviewer decision,,,,"Pass, repair or return."
Version and date,,,,Lifecycle record.
