codes,source_id,canonical_citation_key,short_title,canonical_entry,future_location,status
A1 | B1 | C1 | E1,S012,Academia de Studii Economice din București (2026c),"Regulament privind organizarea și desfășurarea examenului de finalizare a studiilor universitare de licență, începând cu anul universitar 2025–2026 (Hotărârea Senatului nr. 8/04.02.2026)","Academia de Studii Economice din București. (2026c). Regulament privind organizarea și desfășurarea examenului de finalizare a studiilor universitare de licență, începând cu anul universitar 2025–2026 (Hotărârea Senatului nr. 8/04.02.2026). https://senat.ase.ro/wp-content/uploads/2026/20260204/Hot.Senat%20nr.%208%20din%2004.02.2026_Mod.Reg.finalizare%20studii%20licenta.pdf",companion/08_INSTITUTIONAL_LINKS/SOURCE_AND_AUTHORITY_CONCORDANCE.csv,IDENTITY REVERIFIED 2026-08-23; USE WITH CURRENT SENATE-MONITOR AND ROUTE CHECK
A2 | B2 | C2 | E2,S010,Academia de Studii Economice din București (2025b),"Regulament privind organizarea și desfășurarea examenului de finalizare a studiilor universitare de masterat, începând cu anul universitar 2025–2026 (Hotărârea Senatului nr. 174/24.09.2025)","Academia de Studii Economice din București. (2025b). Regulament privind organizarea și desfășurarea examenului de finalizare a studiilor universitare de masterat, începând cu anul universitar 2025–2026 (Hotărârea Senatului nr. 174/24.09.2025). https://senat.ase.ro/wp-content/uploads/2025/20250924/Hot.Senat%20nr.%20174%20din%2024.09.2025_Reg.finalizare%20studii%20masterat.pdf",companion/08_INSTITUTIONAL_LINKS/SOURCE_AND_AUTHORITY_CONCORDANCE.csv,IDENTITY REVERIFIED 2026-08-23; USE WITH CURRENT SENATE-MONITOR AND ROUTE CHECK
A3 | B3 | C3 | D1 | E3,S011,Academia de Studii Economice din București (2026b),Ghid de utilizare a instrumentelor de inteligență artificială generativă în cadrul Academiei de Studii Economice din București (Hotărârea Senatului nr. 38/25.03.2026),Academia de Studii Economice din București. (2026b). Ghid de utilizare a instrumentelor de inteligență artificială generativă în cadrul Academiei de Studii Economice din București (Hotărârea Senatului nr. 38/25.03.2026). https://senat.ase.ro/wp-content/uploads/2026/20260325/Hot.Senat%20nr.%2038%20din%2025.03.2026_Aprob.ghid%20utiliz.%20instrument.%20IAG.pdf,companion/08_INSTITUTIONAL_LINKS/SOURCE_AND_AUTHORITY_CONCORDANCE.csv,IDENTITY REVERIFIED 2026-08-23; CURRENT FORM AND NARROWER INSTRUCTION STILL CONTROL
A4 | B5 | C4 | E5,S148,"Facultatea de Cibernetică, Statistică și Informatică Economică (n.d.-b)",Pregătirea examenului de licență,"Facultatea de Cibernetică, Statistică și Informatică Economică. (n.d.-b). Pregătirea examenului de licență. Retrieved August 23, 2026, from https://csie.ase.ro/student-csie/examen-licenta/",companion/08_INSTITUTIONAL_LINKS/SOURCE_AND_AUTHORITY_CONCORDANCE.csv,LIVE LOCATION REVERIFIED 2026-08-23; CUT-OFF CONFLICT AND STALE LABEL RECORDED; NO VALUE FROZEN
A5 | B6 | C5 | E6,S147,"Facultatea de Cibernetică, Statistică și Informatică Economică (n.d.-a)",Pregătirea examenului de disertație,"Facultatea de Cibernetică, Statistică și Informatică Economică. (n.d.-a). Pregătirea examenului de disertație. Retrieved August 23, 2026, from https://csie.ase.ro/student-csie/examen-disertatie/",companion/08_INSTITUTIONAL_LINKS/SOURCE_AND_AUTHORITY_CONCORDANCE.csv,LIVE LOCATION REVERIFIED 2026-08-23; CUT-OFF CONFLICT AND STALE LABEL RECORDED; NO VALUE FROZEN
A6 | B9 | C9 | E7,S150,Serviciul Rețele (n.d.),Verificare antiplagiat lucrare finalizare studii,"Serviciul Rețele. (n.d.). Verificare antiplagiat lucrare finalizare studii. Academia de Studii Economice din București. Retrieved August 23, 2026, from https://www.net.ase.ro/antiplagiat/",companion/08_INSTITUTIONAL_LINKS/SOURCE_AND_AUTHORITY_CONCORDANCE.csv,"LIVE LOCATION REVERIFIED 2026-08-23; ACCOUNT, COHORT AND WINDOW VALUES REMAIN VOLATILE"
A7 | B10 | E8,S151,Senatul Universitar al Academiei de Studii Economice din București (n.d.),Hotărârile Senatului universitar din 2026,"Senatul Universitar al Academiei de Studii Economice din București. (n.d.). Hotărârile Senatului universitar din 2026. Retrieved August 23, 2026, from https://senat.ase.ro/monitor2026/",companion/08_INSTITUTIONAL_LINKS/SOURCE_AND_AUTHORITY_CONCORDANCE.csv,OFFICIAL INDEX REVERIFIED 2026-08-23; CONTINUOUS SUPERSESSION CHECK REQUIRED
B4 | C8,S152,Academia de Studii Economice din București (2026a),Calendarul studentului 2025–2026,"Academia de Studii Economice din București. (2026a, July 28). Calendarul studentului 2025–2026. https://consilierstudenti.ase.ro/calendarul-studentului-2025-2026/",companion/08_INSTITUTIONAL_LINKS/SOURCE_AND_AUTHORITY_CONCORDANCE.csv,HISTORICAL 2025–2026 CALENDAR PAGE; NOT A 2026–2027 OPERATING AUTHORITY
B7 | C6,S154,"Facultatea de Cibernetică, Statistică și Informatică Economică (2026b)",Graficul organizării și desfășurării examenului de licență: Sesiunea iulie 2026 [PDF],"Facultatea de Cibernetică, Statistică și Informatică Economică. (2026b). Graficul organizării și desfășurării examenului de licență: Sesiunea iulie 2026 [PDF]. https://csie.ase.ro/wp-content/uploads/2026/06/ANUNT-EXAMEN-LICENTA-iulie-2026-GRAFICANUNT-CERERE-ANEXA-1-ANEXA-2-ANGAJABILITATESATISFACTIE-1-2_removed-1.pdf",companion/08_INSTITUTIONAL_LINKS/SOURCE_AND_AUTHORITY_CONCORDANCE.csv,HISTORICAL JULY 2026 NOTICE; LIVE-PAGE CONFLICT RECORDED; DO NOT CARRY FORWARD
B8 | C7,S153,"Facultatea de Cibernetică, Statistică și Informatică Economică (2026a)",Graficul organizării și desfășurării examenului de disertație: Sesiunea iunie 2026 [PDF],"Facultatea de Cibernetică, Statistică și Informatică Economică. (2026a). Graficul organizării și desfășurării examenului de disertație: Sesiunea iunie 2026 [PDF]. https://csie.ase.ro/wp-content/uploads/2026/06/ANUNT-EXAMEN-DIZERTATIE-IUNIE-2026-GRAFICANUNT-ANEXA-1-2-3-3.1-ANGAJABILITATESATISFACTIE-1-2-1-1.pdf",companion/08_INSTITUTIONAL_LINKS/SOURCE_AND_AUTHORITY_CONCORDANCE.csv,HISTORICAL JUNE 2026 NOTICE; LIVE-PAGE CONFLICT RECORDED; DO NOT CARRY FORWARD
D2,S155,"European Commission, Directorate-General for Research and Innovation (2026)","Living guidelines on the responsible use of generative AI in research (3rd version, May 2026)","European Commission, Directorate-General for Research and Innovation. (2026). Living guidelines on the responsible use of generative AI in research (3rd version, May 2026). https://research-and-innovation.ec.europa.eu/document/download/2b6cf7e5-36ac-41cb-aab5-0d32050143dc_en?filename=ec_rtd_ai-guidelines.pdf",companion/08_INSTITUTIONAL_LINKS/SOURCE_AND_AUTHORITY_CONCORDANCE.csv,"OFFICIAL THIRD VERSION, MAY 2026, REVERIFIED; CHECK FOR LATER LIVING VERSION"
D3,S156,ALLEA (2023),The European code of conduct for research integrity: Revised edition 2023,ALLEA. (2023). The European code of conduct for research integrity: Revised edition 2023. https://doi.org/10.26356/ecoc,companion/08_INSTITUTIONAL_LINKS/SOURCE_AND_AUTHORITY_CONCORDANCE.csv,SOURCE IDENTITY AND DOI REVERIFIED 2026-08-23
D4,S001,"Foltýnek, T., Bjelobaba, S., Glendinning, I., Khan, Z. R., Santos, R., Pavletic, P., & Kravjar, J (2023)",ENAI recommendations on the ethical use of artificial intelligence in education,"Foltýnek, T., Bjelobaba, S., Glendinning, I., Khan, Z. R., Santos, R., Pavletic, P., & Kravjar, J. (2023). ENAI recommendations on the ethical use of artificial intelligence in education. International Journal for Educational Integrity, 19, Article 12. https://doi.org/10.1007/s40979-023-00133-4",companion/08_INSTITUTIONAL_LINKS/SOURCE_AND_AUTHORITY_CONCORDANCE.csv,SOURCE IDENTITY AND DOI REVERIFIED 2026-08-23
D5,S104,"Autio, C., Schwartz, R., Dunietz, J., Jain, S., Stanley, M., Tabassi, E., Hall, P., & Roberts, K (2024)",Artificial intelligence risk management framework: Generative artificial intelligence profile (NIST AI 600-1),"Autio, C., Schwartz, R., Dunietz, J., Jain, S., Stanley, M., Tabassi, E., Hall, P., & Roberts, K. (2024). Artificial intelligence risk management framework: Generative artificial intelligence profile (NIST AI 600-1). National Institute of Standards and Technology. https://doi.org/10.6028/nist.ai.600-1",companion/08_INSTITUTIONAL_LINKS/SOURCE_AND_AUTHORITY_CONCORDANCE.csv,SOURCE IDENTITY AND DOI REVERIFIED 2026-08-23; CHECK CURRENT NIST RECORD
E4,S157,Academia de Studii Economice din București (2025a),Calendarul studentului 2025–2026 [PDF],Academia de Studii Economice din București. (2025a). Calendarul studentului 2025–2026 [PDF]. https://consilierstudenti.ase.ro/wp-content/uploads/2025/09/Calendarul-Studentului-2025-2026_23-iunie.docx.pdf,companion/08_INSTITUTIONAL_LINKS/SOURCE_AND_AUTHORITY_CONCORDANCE.csv,HISTORICAL 2025–2026 CALENDAR PDF; NOT A 2026–2027 OPERATING AUTHORITY
B11 | C10 | E9,S158,"Facultatea de Cibernetică, Statistică și Informatică Economică (n.d.-c)","Desfășurarea examenului de licență — sesiunea august 2026, numai pentru studenții participanți la programe de mobilitate internațională","Facultatea de Cibernetică, Statistică și Informatică Economică. (n.d.-c). Desfășurarea examenului de licență — sesiunea august 2026, organizată numai pentru studenții participanți la programe de mobilitate internațională. Retrieved August 23, 2026, from https://csie.ase.ro/desfasurarea-examenului-de-licenta-sesiunea-august-2026-organizata-numai-pentru-studentii-participanti-la-programe-de-mobilitate-internationala/",companion/08_INSTITUTIONAL_LINKS/SOURCE_AND_AUTHORITY_CONCORDANCE.csv,DISCOVERED ON CURRENT OFFICIAL INDEX; TARGET PAGE AND ATTACHMENTS NOT RETRIEVED; MANUAL REVIEW REQUIRED BEFORE USE
