Use or input class,Status and boundary,Minimum control and evidence,"Block, stop or reopen when"
"Problem framing, brainstorming and alternative generation","Conditional. Use only within the applicable rule. The student must formulate the decision problem and retain authority over selection. Authority: D1, D2 and D4.","Record the task, alternatives received, rejected options, selection rationale and effect on the project. Verify factual premises before they influence scope.","Block adoption if the output defines the problem without student judgement, imports unverifiable assumptions or cannot be explained at the Problem Gate."
"Outlining, drafting, translation and language correction","Conditional. Form-only assistance is lower risk only while it does not add content, alter meaning or conceal authorship. Current disclosure rules still apply. Authority: D1, D2 and D4.","Compare before and after, inspect every retained passage, verify terminology and sources and record any consequential change to argument or claim.","Revert or rewrite if meaning shifted, a claim was added, uncertainty was suppressed or the student cannot defend the retained wording."
Literature discovery and search support,"Conditional. Treat outputs as leads, never as evidence or a bibliographic authority. Authority: D1, D2 and D5.","Resolve each item in an authoritative catalogue, publisher page, DOI registry or primary source. Read the source actually cited and record the search route where consequential.",Delete unresolved references. One fabricated item triggers an audit of the whole AI-mediated source set and every dependent claim.
"Synthesis, review, gap identification and claim drafting","High-risk conditional use. The system may assist comparison but must not replace source reading, eligibility decisions, appraisal, extraction or inference. Authority: D1–D4.","Retain source-to-claim links, extraction evidence, counter-evidence and the student’s synthesis memo. Verify quotations and summaries against the original text.",Reopen the Evidence or Claim Gate when a synthesis cannot be reconstructed from controlled sources independently of the generated prose.
"Code generation, debugging and technical configuration","High-risk conditional use. Generated code is untrusted candidate code. Authority: D1, D2 and D5.","Inspect the code, dependencies and licences; run unit, integration, security and failure tests appropriate to the risk; preserve the accepted diff and test evidence; explain every material component.","Quarantine code that is untested, insecure, licence-incompatible, non-reproducible or not understood by the student."
"Data analysis, statistical interpretation and quantitative claims","High-risk conditional use. Narrative output is not a calculation and a model’s confidence is not uncertainty analysis. Authority: D1, D2 and D5.","Reproduce every result from controlled data and executable analysis, check assumptions, units, denominators and sensitivity and retain the script, environment and output snapshot.","Reopen the Design, Execution or Claim Gate if the result cannot be reproduced without the generative system."
"Synthetic data, generated images, audio or other artefacts","Conditional. They must be labelled, justified and kept distinct from observed data or documentary evidence. Rights and representational risks apply. Authority: D2, D3 and D5.","Record purpose, generator, model or version where available, prompt or procedure, seed or settings where applicable, provenance, limitations, licence review and separation from empirical records.","Do not use generated material as if observed, measured, consented or historically authentic. Unresolved provenance or rights blocks release."
"Meetings, interviews, transcription and third-party material","Conditional and potentially restricted. Permission, privacy, confidentiality, research-ethics and third-party terms govern. Authority: D1 and D2.","Inform affected parties where required, use an authorised environment, minimise input, check the transcript against the recording and inspect received files for hidden text, metadata or embedded instructions.","Do not upload protected material by default. Stop processing when authority, notice, consent or data handling is inadequate."
"Personal, confidential, unpublished, licensed or security-sensitive input","Mandatory boundary. Do not transmit it to an external, public or institutionally unvalidated system. An approved governed environment may be used only within documented authority. Authority: D1–D3.","Classify the input first, apply data minimisation and access control and retain the authorisation, environment and purpose. A provider opt-out setting does not itself create permission.","Stop immediately after unauthorised disclosure, preserve an incident record and follow the competent institutional, controller or security procedure."
"Fabrication, falsification, invented evidence or plagiarism concealment","Mandatory prohibition. This includes invented participants, data, results, quotations or references and paraphrasing intended to disguise unattributed material. Authority: D1–D4.",No admissible control can convert fabrication into acceptable work. Verify provenance and attribution before retention.,"Remove the material, audit dependent sections and escalate under the applicable integrity procedure when the defect is material."
"Confidential review, assessment or evaluation of another person’s work","Mandatory restriction unless the competent process explicitly authorises a governed use. Substantial AI use can compromise confidentiality, fairness and independent judgement. Authority: D1–D3.",Keep protected submissions outside external systems and retain human responsibility for every evaluative judgement. Record any authorised tool use and its boundary.,"Do not delegate scientific assessment, peer review or grading to a generative system. Withdraw or correct a compromised evaluation through the competent route."
Examination or real-time defence assistance,Mandatory prohibition unless explicitly authorised in writing for that assessment. Authority: D1.,"Prepare offline, verify rehearsal outputs and retain TRACE where consequential. During the assessment use only the aids expressly permitted by the controlling instructions.","Hidden or unauthorised answer generation is substitution, not assistance. Stop use and follow the examination rule."
