record_no,record_id,level,filename,template_path,record_title,stage,gate,mode,requiredness,route_scope,counterpart,purpose,when_to_use,do_not_use_as,completion_test,controlled_values,book_anchor,predecessor_records,successor_or_handoff,data_sensitivity,semantic_status
1,MIN-CLAIM_EVIDENCE_MAP_MIN,minimum,CLAIM_EVIDENCE_MAP_MIN.csv,companion/03_TEMPLATES_MINIMUM/CLAIM_EVIDENCE_MAP_MIN.csv,Claim-Evidence Map - Minimum,Evaluate and write,Claim / Argument Gate,ledger,minimum when the mapped decision applies,all eight routes,CLAIM_EVIDENCE_MAP_FULL.csv,"Make the exact wording, evidence, uncertainty, boundary and counter-evidence inspectable.",Add one row per inspectable object. Preserve stable identifiers and versions.,"Do not treat form completion as evidence, authority, approval or gate passage.",No substantive claim remains without evidence or with an undeclared transfer boundary.,Status: candidate; supported conditionally; supported; narrowed; suspended; rejected.,6.1 The favourable result that outran its evidence,Problem Gate,Design Gate,"controlled project metadata; no credentials, direct identifiers or confidential payloads",RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
2,MIN-CORPUS_LEDGER_MIN,minimum,CORPUS_LEDGER_MIN.csv,companion/03_TEMPLATES_MINIMUM/CORPUS_LEDGER_MIN.csv,CORPUS Ledger - Minimum,Search,Evidence Gate,ledger,minimum when the mapped decision applies,all routes; formal evidence synthesis requires the fullest protocol-led use,CORPUS_LEDGER_FULL.csv,"Resolve source identity and preserve the reason for inclusion, exclusion and use.",Add one row per inspectable object. Preserve stable identifiers and versions.,"Do not treat form completion as evidence, authority, approval or gate passage.","Every load-bearing source has an identity, access route, appraisal and claim-linked use.",Inclusion: candidate; included; excluded; duplicate; superseded. Source class must be explicit.,"3.3 Keep records, publications, studies and evidence distinct",Problem Gate,Design Gate,bibliographic and source metadata only; do not redistribute restricted full texts,RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
3,MIN-DECIDE_RECORD_MIN,minimum,DECIDE_RECORD_MIN.csv,companion/03_TEMPLATES_MINIMUM/DECIDE_RECORD_MIN.csv,DECIDE Record - Minimum,Plan,Design Gate,ledger,minimum when the mapped decision applies,all eight routes,DECIDE_RECORD_FULL.csv,"Make one consequential decision conditional, evidence-linked and reopenable.",Add one row per inspectable object. Preserve stable identifiers and versions.,"Do not treat form completion as evidence, authority, approval or gate passage.","A credible alternative, authority boundary, early test and reopening trigger are recorded.",Status: draft; reviewed; conditionally accepted; accepted locally; reopened; superseded.,4.3 Use DECIDE to turn evidence into a conditional commitment,Evidence Gate,Execution Gate,"controlled project metadata; no credentials, direct identifiers or confidential payloads",RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
4,MIN-DEFENCE_QUESTION_MATRIX_MIN,minimum,DEFENCE_QUESTION_MATRIX_MIN.csv,companion/03_TEMPLATES_MINIMUM/DEFENCE_QUESTION_MATRIX_MIN.csv,Defence Question Matrix - Minimum,Defend,Defence Readiness Gate,ledger,minimum when the mapped decision applies,all eight routes; adapt evidence and demonstration to the selected route,DEFENCE_QUESTION_MATRIX_FULL.csv,"Prepare direct, evidence-anchored and bounded answers, including legitimate uncertainty.",Add one row per inspectable object. Preserve stable identifiers and versions.,"Do not treat form completion as evidence, authority, approval or gate passage.","Every answer names an evidence anchor, a boundary and a follow-up challenge.",Question families: problem; route; method; design; evidence; claim; limitation; AI use; rights; reproducibility.,"9.6 Answer from evidence, boundary and consequence",Editorial Gate,"Defence, closeout and controlled release decision",may reference restricted administrative objects; store only safe identifiers and segregated locators,RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
5,MIN-DEMONSTRATION_RUNBOOK_MIN,minimum,DEMONSTRATION_RUNBOOK_MIN.csv,companion/03_TEMPLATES_MINIMUM/DEMONSTRATION_RUNBOOK_MIN.csv,Demonstration Runbook - Minimum,Defend,Defence Readiness Gate,ledger,minimum when the mapped decision applies,all eight routes; adapt evidence and demonstration to the selected route,DEMONSTRATION_RUNBOOK_FULL.csv,Prepare a route-appropriate evidential demonstration with a safe fallback.,Add one row per inspectable object. Preserve stable identifiers and versions.,"Do not treat form completion as evidence, authority, approval or gate passage.","The primary path, failure case and fallback use the same accepted release and do not imply a stronger claim.",Path type: primary; secondary; failure; fallback.,"9.4 Demonstrate an evidence path, not a product tour",Editorial Gate,"Defence, closeout and controlled release decision","record versions and evidence locators, not secrets, personal data or proprietary payloads",RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
6,MIN-FEASIBILITY_SPRINT_RECORD_MIN,minimum,FEASIBILITY_SPRINT_RECORD_MIN.csv,companion/03_TEMPLATES_MINIMUM/FEASIBILITY_SPRINT_RECORD_MIN.csv,Feasibility Sprint Record - Minimum,Choose,Problem Gate,form,minimum when the mapped decision applies,all eight routes,FEASIBILITY_SPRINT_RECORD_FULL.csv,Test the most expensive uncertainty before full commitment.,Complete only when the current decision requires this record.,"Do not treat form completion as evidence, authority, approval or gate passage.","The test produces inspectable evidence and one of continue, narrow, pivot or stop.",Decisions: continue; narrow; pivot; stop,2.6 Run a bounded feasibility sprint,Project Start Pack / opening control,Evidence Gate,"controlled project metadata; no credentials, direct identifiers or confidential payloads",RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
7,MIN-GATE_RECORD_MIN,minimum,GATE_RECORD_MIN.csv,companion/03_TEMPLATES_MINIMUM/GATE_RECORD_MIN.csv,Gate Record - Minimum,Cross-cutting,Current gate,ledger,minimum when the mapped decision applies,all eight routes,GATE_RECORD_FULL.csv,"Record the decision, evidence status, strongest objection and return route for one gate.",Add one row per inspectable object. Preserve stable identifiers and versions.,"Do not treat form completion as evidence, authority, approval or gate passage.",The decision is justified by named objects and does not hide a missing authority or contradiction.,Decision: pass; pass with conditions; repair; return; await authority; stop.,Cross-cutting companion control; consult BOOK_TO_COMPANION_CROSSWALK.csv,Design Gate,Claim Gate,"controlled project metadata; no credentials, direct identifiers or confidential payloads",RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
8,MIN-PROJECT_START_PACK_MIN,minimum,PROJECT_START_PACK_MIN.csv,companion/03_TEMPLATES_MINIMUM/PROJECT_START_PACK_MIN.csv,Project Start Pack - Minimum,Orient,Project Start Pack,form,minimum when the mapped decision applies,all eight routes,PROJECT_START_PACK_FULL.csv,"Establish project identity, access, authority and the first reviewable product.",Complete only when the current decision requires this record.,"Do not treat form completion as evidence, authority, approval or gate passage.","The project can be identified, the access boundary is explicit and a reviewer can authorise one next action.",,1.6 Set up the work before it grows,Project identity and authority evidence,Problem Gate,"controlled project metadata; no credentials, direct identifiers or confidential payloads",RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
9,MIN-ROUTE_SELECTOR_MIN,minimum,ROUTE_SELECTOR_MIN.csv,companion/03_TEMPLATES_MINIMUM/ROUTE_SELECTOR_MIN.csv,Route Selector - Minimum,Orient,Project Start Pack,form,minimum when the mapped decision applies,all eight routes,ROUTE_SELECTOR_FULL.csv,Select the dominant route and expose the immediate evidence obligation.,Complete only when the current decision requires this record.,"Do not treat form completion as evidence, authority, approval or gate passage.","One dominant route is named, secondary components are explicit and the prohibited inference is recorded.",Routes: build-and-evaluate; algorithmic or simulation study; predictive or machine-learning study; quantitative empirical study; qualitative inquiry; case study; formal evidence synthesis; hybrid route,"1.1 One technology label, four different pieces of work; 1.2 What are you actually preparing?; 1.3 Choose a provisional inquiry route",Project identity and authority evidence,Problem Gate,"controlled project metadata; no credentials, direct identifiers or confidential payloads",RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
10,MIN-SCOPE_CANVAS_MIN,minimum,SCOPE_CANVAS_MIN.csv,companion/03_TEMPLATES_MINIMUM/SCOPE_CANVAS_MIN.csv,SCOPE Canvas - Minimum,Choose,Problem Gate,form,minimum when the mapped decision applies,all eight routes,SCOPE_CANVAS_FULL.csv,"Turn an attractive topic into a bounded, answerable and revisable problem.",Complete only when the current decision requires this record.,"Do not treat form completion as evidence, authority, approval or gate passage.","The research question, evidence obligation and transfer boundary are mutually compatible.",,2.1 The topic that survived the title test and failed the access test; 2.4 Use the SCOPE framing canvas,Project Start Pack / opening control,Evidence Gate,"controlled project metadata; no credentials, direct identifiers or confidential payloads",RELEASED AND VALIDATED — PUBLIC COMPANION v1.2.0
