book_object_id,book_location,printed_page,current_book_version,target_book_version,target_disposition,primary_companion_path,secondary_companion_paths,coverage_status,note
FM-01,Preface,,3.7.1,3.9.0,retain,README.md,,COVERED,Stable rationale; companion carries mutable operational objects.
FM-02,How to Use This Guide,,3.7.1,3.9.0,retain,companion/02_QUICK_START/README.md,,COVERED,Quick-start implementation and browser-only use.
FM-03,The Route and Gate Architecture,,3.7.1,3.9.0,retain,companion/02_QUICK_START/CURRENT_GATE_SELECTOR.csv,,COVERED,Nine-gate selector and record escalation.
FM-04,Digital Companion and Versioned Institutional Resources,,3.7.1,3.9.0,revise in planned v3.8.0,companion/10_BOOK_RESOURCE_MAP/BOOK_MENTION_CANDIDATE.md,,COVERED,Insert public locator only after release gates close.
SEC-1.1,"1.1 One technology label, four different pieces of work",2,3.7.1,3.9.0,retain in book; supplement operationally,companion/02_QUICK_START/CURRENT_GATE_SELECTOR.csv,companion/03_TEMPLATES_MINIMUM/ROUTE_SELECTOR_MIN.csv,COVERED,Section-level operational crosswalk.
SEC-1.2,1.2 What are you actually preparing?,3,3.7.1,3.9.0,retain in book; supplement operationally,companion/03_TEMPLATES_MINIMUM/ROUTE_SELECTOR_MIN.csv,companion/04_TEMPLATES_FULL/ROUTE_SELECTOR_FULL.csv,COVERED,Section-level operational crosswalk.
SEC-1.3,1.3 Choose a provisional inquiry route,5,3.7.1,3.9.0,retain in book; supplement operationally,companion/03_TEMPLATES_MINIMUM/ROUTE_SELECTOR_MIN.csv,companion/09_CHANGE_AND_SUPERSESSION/ROUTE_EVIDENCE_OBLIGATION_REGISTRY_v1.2.0.csv,COVERED,Section-level operational crosswalk.
SEC-1.4,"1.4 Bachelor’s and master’s work: the same evidential spine, different expectations",6,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/ROUTE_SELECTOR_FULL.csv,companion/04_TEMPLATES_FULL/PROJECT_START_PACK_FULL.csv,COVERED,Section-level operational crosswalk.
SEC-1.5,1.5 Who owns which decision?,8,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/AUTHORITY_MATRIX_FULL.csv,,COVERED,Section-level operational crosswalk.
SEC-1.6,1.6 Set up the work before it grows,9,3.7.1,3.9.0,retain in book; supplement operationally,companion/03_TEMPLATES_MINIMUM/PROJECT_START_PACK_MIN.csv,companion/03_TEMPLATES_MINIMUM/VERSION_MANIFEST_RECORD_MIN.csv,COVERED,Section-level operational crosswalk.
SEC-1.7,1.7 Agree how AI may be used,11,3.7.1,3.9.0,retain in book; supplement operationally,companion/06_AI_TRACE_AND_DISCLOSURE/AI_PERMISSION_DECISION_RECORD.csv,companion/03_TEMPLATES_MINIMUM/TRACE_RECORD_MIN.csv,COVERED,Section-level operational crosswalk.
SEC-1.8,1.8 Build your Project Start Pack,12,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/PROJECT_START_PACK_FULL.csv,companion/04_TEMPLATES_FULL/GATE_RECORD_FULL.csv,COVERED,Section-level operational crosswalk.
SEC-2.1,2.1 The topic that survived the title test and failed the access test,16,3.7.1,3.9.0,retain in book; supplement operationally,companion/03_TEMPLATES_MINIMUM/SCOPE_CANVAS_MIN.csv,,COVERED,Section-level operational crosswalk.
SEC-2.2,"2.2 Choose for sustained interest, not technological comfort",18,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/SCOPE_CANVAS_FULL.csv,,COVERED,Section-level operational crosswalk.
SEC-2.3,2.3 Separate the topic from the problem and the solution,19,3.7.1,3.9.0,retain in book; supplement operationally,companion/04_TEMPLATES_FULL/SCOPE_CANVAS_FULL.csv,,COVERED,Section-level operational crosswalk.
