level,filename,record_title,stage,gate,mode,purpose,use_rule,completion_test,controlled_values
minimum,ROUTE_SELECTOR_MIN.csv,Route Selector - Minimum,Orient,Project Start Pack,form,Select the dominant route and expose the immediate evidence obligation.,Complete only when the current decision requires this record.,"One dominant route is named, secondary components are explicit and the prohibited inference is recorded.",Routes: build-and-evaluate; algorithmic or simulation study; predictive or machine-learning study; quantitative empirical study; qualitative inquiry; case study; formal evidence synthesis; hybrid route
minimum,PROJECT_START_PACK_MIN.csv,Project Start Pack - Minimum,Orient,Project Start Pack,form,"Establish project identity, access, authority and the first reviewable product.",Complete only when the current decision requires this record.,"The project can be identified, the access boundary is explicit and a reviewer can authorise one next action.",
minimum,SCOPE_CANVAS_MIN.csv,SCOPE Canvas - Minimum,Choose,Problem Gate,form,"Turn an attractive topic into a bounded, answerable and revisable problem.",Complete only when the current decision requires this record.,"The research question, evidence obligation and transfer boundary are mutually compatible.",
minimum,FEASIBILITY_SPRINT_RECORD_MIN.csv,Feasibility Sprint Record - Minimum,Choose,Problem Gate,form,Test the most expensive uncertainty before full commitment.,Complete only when the current decision requires this record.,"The test produces inspectable evidence and one of continue, narrow, pivot or stop.",Decisions: continue; narrow; pivot; stop
minimum,CORPUS_LEDGER_MIN.csv,CORPUS Ledger - Minimum,Search,Evidence Gate,ledger,"Resolve source identity and preserve the reason for inclusion, exclusion and use.",Add one row per inspectable object. Preserve stable identifiers and versions.,"Every load-bearing source has an identity, access route, appraisal and claim-linked use.",Inclusion: candidate; included; excluded; duplicate; superseded. Source class must be explicit.
minimum,DECIDE_RECORD_MIN.csv,DECIDE Record - Minimum,Plan,Design Gate,ledger,"Make one consequential decision conditional, evidence-linked and reopenable.",Add one row per inspectable object. Preserve stable identifiers and versions.,"A credible alternative, authority boundary, early test and reopening trigger are recorded.",Status: draft; reviewed; conditionally accepted; accepted locally; reopened; superseded.
minimum,TRACE_RECORD_MIN.csv,TRACE Record - Minimum,Cross-cutting,All gates,ledger,Record consequential generative-AI assistance and its verification and disposition.,Add one row per inspectable object. Preserve stable identifiers and versions.,"The student can explain the task, supplied context, candidate output, independent basis and final decision.",Decision: accepted; modified; rejected. AI output is never evidence or authority.
minimum,GATE_RECORD_MIN.csv,Gate Record - Minimum,Cross-cutting,Current gate,ledger,"Record the decision, evidence status, strongest objection and return route for one gate.",Add one row per inspectable object. Preserve stable identifiers and versions.,The decision is justified by named objects and does not hide a missing authority or contradiction.,Decision: pass; pass with conditions; repair; return; await authority; stop.
minimum,CLAIM_EVIDENCE_MAP_MIN.csv,Claim-Evidence Map - Minimum,Evaluate and write,Claim / Argument Gate,ledger,"Make the exact wording, evidence, uncertainty, boundary and counter-evidence inspectable.",Add one row per inspectable object. Preserve stable identifiers and versions.,No substantive claim remains without evidence or with an undeclared transfer boundary.,Status: candidate; supported conditionally; supported; narrowed; suspended; rejected.
minimum,DEMONSTRATION_RUNBOOK_MIN.csv,Demonstration Runbook - Minimum,Defend,Defence Readiness Gate,ledger,Prepare a route-appropriate evidential demonstration with a safe fallback.,Add one row per inspectable object. Preserve stable identifiers and versions.,"The primary path, failure case and fallback use the same accepted release and do not imply a stronger claim.",Path type: primary; secondary; failure; fallback.
minimum,DEFENCE_QUESTION_MATRIX_MIN.csv,Defence Question Matrix - Minimum,Defend,Defence Readiness Gate,ledger,"Prepare direct, evidence-anchored and bounded answers, including legitimate uncertainty.",Add one row per inspectable object. Preserve stable identifiers and versions.,"Every answer names an evidence anchor, a boundary and a follow-up challenge.",Question families: problem; route; method; design; evidence; claim; limitation; AI use; rights; reproducibility.
minimum,VERSION_MANIFEST_RECORD_MIN.csv,Version and Manifest Record - Minimum,Cross-cutting,All closure gates,form,Preserve one source of truth and identify every derivative.,Complete only when the current decision requires this record.,"The authoritative object, version, hash, derivatives, rights and privacy status can be reconstructed.",
