field,entry,evidence_or_basis,review_status,guidance
Evaluation identifier,EXPLAIN IN CONTEXT-EVAL-01,Synthetic route-specific basis,accepted locally,Stable ID.
Minimum meaningful claim,"Within the synthetic case, scanning became routine only after alert ownership and exception handling were integrated into the workflow; tool enablement alone produced repeated bypasses.",Synthetic route-specific basis,accepted locally,Exact candidate wording.
Consequence if wrong,The project would overstate the route-specific contribution.,Synthetic route-specific basis,accepted locally,Why the claim deserves scrutiny.
Route and unit,"case study | The bounded laboratory adoption process, investigated through multiple evidence sources.",Synthetic route-specific basis,accepted locally,Route-specific evaluation object.
Comparison or reference,"Triangulation across configuration snapshots, issue records, meeting notes, policy documents and illustrative interviews, including discrepant evidence.",Synthetic route-specific basis,accepted locally,"Baseline, case, counterfactual, reference or synthesis basis."
Evidence body,"Within the synthetic case, scanning became routine only after alert ownership and exception handling were integrated into the workflow; tool enablement alone produced repeated bypasses.",Synthetic route-specific basis,accepted locally,All required evidence objects.
"Metrics, estimates or analytic outputs",Route-appropriate synthetic outputs only,Synthetic route-specific basis,accepted locally,With units and definitions.
Uncertainty,"Synthetic case, selective records, bounded period and dependence on the declared case boundary.",Synthetic route-specific basis,accepted locally,"Statistical, numerical, interpretive, measurement or transfer."
Negative and counter-evidence,One team continued to bypass the scanner after the common workflow was introduced.,Synthetic route-specific basis,accepted locally,"Failures, null-compatible findings, negative cases or alternatives."
"Reproduction, audit or adversarial check",Test whether one adoption episode can be reconstructed across at least three independent source types.,Synthetic route-specific basis,accepted locally,Proportionate independent challenge.
Acceptance and narrowing rule,Accept only within the declared boundary; reject the stronger wording: Automated dependency scanning succeeds whenever a tool is enabled.,Synthetic route-specific basis,accepted locally,How wording changes.
"Owner, reviewer, date and version",Student role | synthetic reviewer | 2026-08-23 | 1.0,Synthetic route-specific basis,accepted locally,Lifecycle record.
