figure_number,asset,asset_class,source_of_truth,third_party_visual_content_detected,external_images_or_links_detected,personal_data_detected,trademark_or_logo_detected,current_licence,rights_owner_status,publisher_dependency,recommended_public_profile_if_authorised,current_release_decision
1.1,01_SVG_AUTHORITATIVE/Figure_1_1_Evidence_to_Defence_Architecture.svg,authorial conceptual diagram,embedded SVG in working master v3.1,no,no,no,no,none — no public grant,project-authorial; allocation between Antonio Clim and Martino Aldrigo not evidenced in the archive,yes,CC BY 4.0 for figures; publisher agreement and both authors’ approval required first,exclude from public release until Phase 13/contractual gate is expressly cleared
1.2,01_SVG_AUTHORITATIVE/Figure_1_2_Advice_Authority_and_Authorship_Map.svg,authorial conceptual diagram,embedded SVG in working master v3.1,no,no,no,no,none — no public grant,project-authorial; allocation between Antonio Clim and Martino Aldrigo not evidenced in the archive,yes,CC BY 4.0 for figures; publisher agreement and both authors’ approval required first,exclude from public release until Phase 13/contractual gate is expressly cleared
2.1,01_SVG_AUTHORITATIVE/Figure_2_1_Topic_Decision_Path.svg,authorial conceptual diagram,embedded SVG in working master v3.1,no,no,no,no,none — no public grant,project-authorial; allocation between Antonio Clim and Martino Aldrigo not evidenced in the archive,yes,CC BY 4.0 for figures; publisher agreement and both authors’ approval required first,exclude from public release until Phase 13/contractual gate is expressly cleared
2.2,01_SVG_AUTHORITATIVE/Figure_2_2_SCOPE_Framing_Canvas.svg,authorial conceptual diagram,embedded SVG in working master v3.1,no,no,no,no,none — no public grant,project-authorial; allocation between Antonio Clim and Martino Aldrigo not evidenced in the archive,yes,CC BY 4.0 for figures; publisher agreement and both authors’ approval required first,exclude from public release until Phase 13/contractual gate is expressly cleared
3.1,01_SVG_AUTHORITATIVE/Figure_3_1_Evidence_Identity_Chain.svg,authorial conceptual diagram,embedded SVG in working master v3.1,no,no,no,no,none — no public grant,project-authorial; allocation between Antonio Clim and Martino Aldrigo not evidenced in the archive,yes,CC BY 4.0 for figures; publisher agreement and both authors’ approval required first,exclude from public release until Phase 13/contractual gate is expressly cleared
3.2,01_SVG_AUTHORITATIVE/Figure_3_2_CORPUS_Records_Cycle.svg,authorial conceptual diagram,embedded SVG in working master v3.1,no,no,no,no,none — no public grant,project-authorial; allocation between Antonio Clim and Martino Aldrigo not evidenced in the archive,yes,CC BY 4.0 for figures; publisher agreement and both authors’ approval required first,exclude from public release until Phase 13/contractual gate is expressly cleared
4.1,01_SVG_AUTHORITATIVE/Figure_4_1_Reversible_Driver_to_Test_Chain.svg,authorial conceptual diagram,embedded SVG in working master v3.1,no,no,no,no,none — no public grant,project-authorial; allocation between Antonio Clim and Martino Aldrigo not evidenced in the archive,yes,CC BY 4.0 for figures; publisher agreement and both authors’ approval required first,exclude from public release until Phase 13/contractual gate is expressly cleared
4.2,01_SVG_AUTHORITATIVE/Figure_4_2_DECIDE_Conditional_Commitment_Cycle.svg,authorial conceptual diagram,embedded SVG in working master v3.1,no,no,no,no,none — no public grant,project-authorial; allocation between Antonio Clim and Martino Aldrigo not evidenced in the archive,yes,CC BY 4.0 for figures; publisher agreement and both authors’ approval required first,exclude from public release until Phase 13/contractual gate is expressly cleared
5.1,01_SVG_AUTHORITATIVE/Figure_5_1_Candidate_to_Admission_Chain.svg,authorial conceptual diagram,embedded SVG in working master v3.1,no,no,no,no,none — no public grant,project-authorial; allocation between Antonio Clim and Martino Aldrigo not evidenced in the archive,yes,CC BY 4.0 for figures; publisher agreement and both authors’ approval required first,exclude from public release until Phase 13/contractual gate is expressly cleared
5.2,01_SVG_AUTHORITATIVE/Figure_5_2_Bounded_Execution_Loop.svg,authorial conceptual diagram,embedded SVG in working master v3.1,no,no,no,no,none — no public grant,project-authorial; allocation between Antonio Clim and Martino Aldrigo not evidenced in the archive,yes,CC BY 4.0 for figures; publisher agreement and both authors’ approval required first,exclude from public release until Phase 13/contractual gate is expressly cleared
6.1,01_SVG_AUTHORITATIVE/Figure_6_1_Evidence_to_Claim_Ladder.svg,authorial conceptual diagram,embedded SVG in working master v3.1,no,no,no,no,none — no public grant,project-authorial; allocation between Antonio Clim and Martino Aldrigo not evidenced in the archive,yes,CC BY 4.0 for figures; publisher agreement and both authors’ approval required first,exclude from public release until Phase 13/contractual gate is expressly cleared
6.2,01_SVG_AUTHORITATIVE/Figure_6_2_Claim_Stress_Test_and_Gate_Returns.svg,authorial conceptual diagram,embedded SVG in working master v3.1,no,no,no,no,none — no public grant,project-authorial; allocation between Antonio Clim and Martino Aldrigo not evidenced in the archive,yes,CC BY 4.0 for figures; publisher agreement and both authors’ approval required first,exclude from public release until Phase 13/contractual gate is expressly cleared
7.1,01_SVG_AUTHORITATIVE/Figure_7_1_Gate_Records_to_Answer_Architecture.svg,authorial conceptual diagram,embedded SVG in working master v3.1,no,no,no,no,none — no public grant,project-authorial; allocation between Antonio Clim and Martino Aldrigo not evidenced in the archive,yes,CC BY 4.0 for figures; publisher agreement and both authors’ approval required first,exclude from public release until Phase 13/contractual gate is expressly cleared
7.2,01_SVG_AUTHORITATIVE/Figure_7_2_Section_and_Paragraph_Contract.svg,authorial conceptual diagram,embedded SVG in working master v3.1,no,no,no,no,none — no public grant,project-authorial; allocation between Antonio Clim and Martino Aldrigo not evidenced in the archive,yes,CC BY 4.0 for figures; publisher agreement and both authors’ approval required first,exclude from public release until Phase 13/contractual gate is expressly cleared
8.1,01_SVG_AUTHORITATIVE/Figure_8_1_Semantic_First_Revision_and_Proof_Control.svg,authorial conceptual diagram,embedded SVG in working master v3.1,no,no,no,no,none — no public grant,project-authorial; allocation between Antonio Clim and Martino Aldrigo not evidenced in the archive,yes,CC BY 4.0 for figures; publisher agreement and both authors’ approval required first,exclude from public release until Phase 13/contractual gate is expressly cleared
8.2,01_SVG_AUTHORITATIVE/Figure_8_2_One_Study_Consistency_and_Metadata_Lock.svg,authorial conceptual diagram,embedded SVG in working master v3.1,no,no,no,no,none — no public grant,project-authorial; allocation between Antonio Clim and Martino Aldrigo not evidenced in the archive,yes,CC BY 4.0 for figures; publisher agreement and both authors’ approval required first,exclude from public release until Phase 13/contractual gate is expressly cleared
9.1,01_SVG_AUTHORITATIVE/Figure_9_1_Author_Side_Closure_to_Defence_Ready_Record.svg,authorial conceptual diagram,embedded SVG in working master v3.1,no,no,no,no,none — no public grant,project-authorial; allocation between Antonio Clim and Martino Aldrigo not evidenced in the archive,yes,CC BY 4.0 for figures; publisher agreement and both authors’ approval required first,exclude from public release until Phase 13/contractual gate is expressly cleared
9.2,01_SVG_AUTHORITATIVE/Figure_9_2_One_Bounded_Contribution_Across_Defence_Interfaces.svg,authorial conceptual diagram,embedded SVG in working master v3.1,no,no,no,no,none — no public grant,project-authorial; allocation between Antonio Clim and Martino Aldrigo not evidenced in the archive,yes,CC BY 4.0 for figures; publisher agreement and both authors’ approval required first,exclude from public release until Phase 13/contractual gate is expressly cleared
