record_id,level,filename,template_path,field_order,field_name,field_label,semantic_definition,entry_rule,requiredness,controlled_vocabulary,controlled_values,sensitivity,validation_rule,book_anchor
MIN-CLAIM_EVIDENCE_MAP_MIN,minimum,CLAIM_EVIDENCE_MAP_MIN.csv,companion/03_TEMPLATES_MINIMUM/CLAIM_EVIDENCE_MAP_MIN.csv,1,claim_id,Claim id,Stable identifier for one exact claim wording.,Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,"controlled project metadata; no credentials, direct identifiers or confidential payloads",non-empty stable identifier; unique within the project namespace,6.1 The favourable result that outran its evidence
MIN-CLAIM_EVIDENCE_MAP_MIN,minimum,CLAIM_EVIDENCE_MAP_MIN.csv,companion/03_TEMPLATES_MINIMUM/CLAIM_EVIDENCE_MAP_MIN.csv,2,exact_claim_text,Exact claim text,Exact sentence or proposition whose wording is being authorised or rejected.,Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,"controlled project metadata; no credentials, direct identifiers or confidential payloads",non-empty when required; internally consistent with linked records,6.1 The favourable result that outran its evidence
MIN-CLAIM_EVIDENCE_MAP_MIN,minimum,CLAIM_EVIDENCE_MAP_MIN.csv,companion/03_TEMPLATES_MINIMUM/CLAIM_EVIDENCE_MAP_MIN.csv,3,evidence_object,Evidence object,Stable identifier or safe locator for the evidence used. Do not paste confidential payloads.,Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,"controlled project metadata; no credentials, direct identifiers or confidential payloads",non-empty when required; internally consistent with linked records,6.1 The favourable result that outran its evidence
MIN-CLAIM_EVIDENCE_MAP_MIN,minimum,CLAIM_EVIDENCE_MAP_MIN.csv,companion/03_TEMPLATES_MINIMUM/CLAIM_EVIDENCE_MAP_MIN.csv,4,method_or_source,Method or source,"Verified source or identity information for method or source, sufficient for independent resolution.",Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,"controlled project metadata; no credentials, direct identifiers or confidential payloads",non-empty when required; internally consistent with linked records,6.1 The favourable result that outran its evidence
MIN-CLAIM_EVIDENCE_MAP_MIN,minimum,CLAIM_EVIDENCE_MAP_MIN.csv,companion/03_TEMPLATES_MINIMUM/CLAIM_EVIDENCE_MAP_MIN.csv,5,uncertainty,uncertainty,"Statistical, numerical, measurement, interpretive, model or transfer uncertainty relevant to the decision.",Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,"controlled project metadata; no credentials, direct identifiers or confidential payloads",non-empty when required; internally consistent with linked records,6.1 The favourable result that outran its evidence
MIN-CLAIM_EVIDENCE_MAP_MIN,minimum,CLAIM_EVIDENCE_MAP_MIN.csv,companion/03_TEMPLATES_MINIMUM/CLAIM_EVIDENCE_MAP_MIN.csv,6,boundary,boundary,"Explicit scope limit for population, case, corpus, time, environment, method or transfer.",Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,"controlled project metadata; no credentials, direct identifiers or confidential payloads",non-empty when required; internally consistent with linked records,6.1 The favourable result that outran its evidence
MIN-CLAIM_EVIDENCE_MAP_MIN,minimum,CLAIM_EVIDENCE_MAP_MIN.csv,companion/03_TEMPLATES_MINIMUM/CLAIM_EVIDENCE_MAP_MIN.csv,7,counter_evidence_or_alternative,Counter evidence or alternative,Evidence or credible explanation that resists the preferred interpretation.,Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,"controlled project metadata; no credentials, direct identifiers or confidential payloads",non-empty when required; internally consistent with linked records,6.1 The favourable result that outran its evidence
MIN-CLAIM_EVIDENCE_MAP_MIN,minimum,CLAIM_EVIDENCE_MAP_MIN.csv,companion/03_TEMPLATES_MINIMUM/CLAIM_EVIDENCE_MAP_MIN.csv,8,stronger_wording_rejected,Stronger wording rejected,Attractive but unsupported wording that the evidence does not authorise.,Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,"controlled project metadata; no credentials, direct identifiers or confidential payloads",non-empty when required; internally consistent with linked records,6.1 The favourable result that outran its evidence
MIN-CLAIM_EVIDENCE_MAP_MIN,minimum,CLAIM_EVIDENCE_MAP_MIN.csv,companion/03_TEMPLATES_MINIMUM/CLAIM_EVIDENCE_MAP_MIN.csv,9,status,status,Current lifecycle or decision status. Use the controlled vocabulary declared for the record.,Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,claim_status,candidate; supported conditionally; supported; narrowed; suspended; rejected,"controlled project metadata; no credentials, direct identifiers or confidential payloads",use one exact value from controlled vocabulary: claim_status,6.1 The favourable result that outran its evidence
MIN-CORPUS_LEDGER_MIN,minimum,CORPUS_LEDGER_MIN.csv,companion/03_TEMPLATES_MINIMUM/CORPUS_LEDGER_MIN.csv,1,record_id,Record id,Stable identifier for the record. It must not change when the file is copied.,Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,bibliographic and source metadata only; do not redistribute restricted full texts,non-empty stable identifier; unique within the project namespace,"3.3 Keep records, publications, studies and evidence distinct"
MIN-CORPUS_LEDGER_MIN,minimum,CORPUS_LEDGER_MIN.csv,companion/03_TEMPLATES_MINIMUM/CORPUS_LEDGER_MIN.csv,2,citation_or_object,Citation or object,"Verified source or identity information for citation or object, sufficient for independent resolution.",Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,bibliographic and source metadata only; do not redistribute restricted full texts,non-empty when required; internally consistent with linked records,"3.3 Keep records, publications, studies and evidence distinct"
MIN-CORPUS_LEDGER_MIN,minimum,CORPUS_LEDGER_MIN.csv,companion/03_TEMPLATES_MINIMUM/CORPUS_LEDGER_MIN.csv,3,source_class,Source class,"Verified source or identity information for source class, sufficient for independent resolution.",Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,bibliographic and source metadata only; do not redistribute restricted full texts,non-empty when required; internally consistent with linked records,"3.3 Keep records, publications, studies and evidence distinct"
MIN-CORPUS_LEDGER_MIN,minimum,CORPUS_LEDGER_MIN.csv,companion/03_TEMPLATES_MINIMUM/CORPUS_LEDGER_MIN.csv,4,search_or_access_route,Search or access route,Record search or access route in sufficiently precise terms for a competent reviewer to reconstruct and challenge the decision.,Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,bibliographic and source metadata only; do not redistribute restricted full texts,non-empty when required; internally consistent with linked records,"3.3 Keep records, publications, studies and evidence distinct"
MIN-CORPUS_LEDGER_MIN,minimum,CORPUS_LEDGER_MIN.csv,companion/03_TEMPLATES_MINIMUM/CORPUS_LEDGER_MIN.csv,5,identity_or_study_id,Identity or study id,"Resolved identity at the appropriate level, separating records, publications and studies when relevant.",Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,bibliographic and source metadata only; do not redistribute restricted full texts,non-empty stable identifier; unique within the project namespace,"3.3 Keep records, publications, studies and evidence distinct"
MIN-CORPUS_LEDGER_MIN,minimum,CORPUS_LEDGER_MIN.csv,companion/03_TEMPLATES_MINIMUM/CORPUS_LEDGER_MIN.csv,6,inclusion_status,Inclusion status,"Candidate, included, excluded, duplicate or superseded state for the source or object.",Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,inclusion_status,candidate; included; excluded; duplicate; superseded,bibliographic and source metadata only; do not redistribute restricted full texts,use one exact value from controlled vocabulary: inclusion_status,"3.3 Keep records, publications, studies and evidence distinct"
MIN-CORPUS_LEDGER_MIN,minimum,CORPUS_LEDGER_MIN.csv,companion/03_TEMPLATES_MINIMUM/CORPUS_LEDGER_MIN.csv,7,appraisal,appraisal,Record appraisal in sufficiently precise terms for a competent reviewer to reconstruct and challenge the decision.,Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,bibliographic and source metadata only; do not redistribute restricted full texts,non-empty when required; internally consistent with linked records,"3.3 Keep records, publications, studies and evidence distinct"
MIN-CORPUS_LEDGER_MIN,minimum,CORPUS_LEDGER_MIN.csv,companion/03_TEMPLATES_MINIMUM/CORPUS_LEDGER_MIN.csv,8,rights_or_access,Rights or access,"Named authority, permission or rights basis governing rights or access.",Record the accepted current value and place supporting evidence or authority in the linked field or record.,required unless explicitly and defensibly not applicable; completed records must not leave the field blank,,,bibliographic and source metadata only; do not redistribute restricted full texts,non-empty when required; internally consistent with linked records,"3.3 Keep records, publications, studies and evidence distinct"
