field,entry,evidence_or_basis,review_status,guidance
Product,,,,Name the assessed product.
Working title,,,,Use the exact current title.
Problem,,,,State the concrete problem and affected context.
Provisional route,,,,Select the dominant route.
Access,,,,"Record data, participants, systems, sources, licences and permissions."
Authority,,,,"Name who can advise, approve access or impose a rule."
First deliverable,,,,Name one bounded object due next.
Owner,,,,Name the responsible student.
Reviewer and date,,,,"Record reviewer, decision and date."
Version and status,,,,Assign a stable identifier and status.
