field,entry,evidence_or_basis,review_status,guidance
Project identifier,,,,Stable identifier.
Assessed product,,,,Exact product type.
Working title,,,,Current recorded title.
Observed situation,,,,Evidence-based context.
Problem,,,,Consequential and bounded problem.
Provisional route,,,,Dominant and secondary route.
Research object,,,,"Artefact, population, case, corpus, process or study set."
Access status,,,,"Data, participants, systems, documents, compute and sources."
Authority map,,,,"Advice, academic approval, ethics, data owner, security and licence authority."
Confidentiality class,,,,"Public, internal, confidential, restricted or mixed."
Feasibility risks,,,,"Time, skills, compute, recruitment, access, licence and evaluation burden."
Workspace root,,,,Authoritative working location; do not record credentials.
First deliverable,,,,One bounded inspectable object.
Owner,,,,Responsible student.
Reviewer decision,,,,"Proceed, proceed with actions, repair or stop."
"Version, date and next review",,,,Stable version record.
