Official record function,Bachelor’s route,Master’s route,Verifier and recommended retention
Final work PDF and version identity,"Mandatory. Transmit the final bachelor’s thesis through the current official route. The reviewed, transmitted and defended copies must have the same content. Current file-naming and channel rules are volatile. Authority: C1, C4, C6, C8 and C9.","Mandatory. Transmit the final dissertation through the current official route. The reviewed, transmitted and defended copies must have the same content. Current file-naming and channel rules are volatile. Authority: C2, C5, C7, C8 and C9.","Retain the exact PDF, cryptographic hash, upload or transmission receipt, report identifier and department acknowledgement. A file on disk without receipt is not transmission evidence."
Similarity report and supervisor decision,Mandatory. The thesis is checked through the institutional route and the supervisor decides Admitted or Rejected after analysing the report. Authority: C1 and C9.,Mandatory. The dissertation is checked through the institutional route and the supervisor decides Admitted or Rejected after analysing the report. Authority: C2 and C9.,"Retain report identity, reviewed-file hash, decision, date and any authorised correction cycle. Do not treat a numerical coefficient as an automatic originality verdict."
Registration application and exact title,"Mandatory. Use the current application, dated and signed as required. The title must match the approved title and the final work. Authority: C1 and C6.","Mandatory. Use the current application, dated and signed as required. The title must match the approved title and the final work. Authority: C2 and C7.","Retain the exact submitted copy and submission evidence. A title mismatch is a package-identity defect, not a typographical detail."
Data-protection declaration,"Mandatory. Use the current official declaration, dated and signed. Authority: C1 and C6.","Mandatory. Use the current official declaration, dated and signed. Authority: C2 and C7.",Retain the submitted copy in the restricted administrative dossier. Do not place signed personal forms in a public repository or companion release.
Originality declaration,"Mandatory. Use the current official declaration, dated and signed. Authority: C1 and C6.","Mandatory. Use the current official declaration, dated and signed. Authority: C2 and C7.","Retain the submitted copy and confirm that it refers to the same final work. The declaration supplements, rather than replaces, source and similarity controls."
Authenticity of electronically transmitted documents,Conditional. Use the current authenticity declaration when an officially activated electronic bachelor’s route requires it. Authority: C1 and the current faculty instruction.,"Mandatory under the current master’s regulation and checked CSIE route. Use the current declaration, dated and signed, for documents transmitted electronically. Authority: C2 and C7.","Retain the exact signed declaration, the transmitted document set and the transmission evidence together. The declaration does not cure an altered, incomplete or mismatched file set."
Generative-AI declaration,"Mandatory. Declare use or non-use, insert the declaration immediately after Contents and submit the separate signed copy required at registration. Authority: C3 and C6.","Mandatory. Declare use or non-use, insert the declaration immediately after Contents and submit the separate signed copy required at registration. Authority: C3 and C7.","Retain the in-work version and the exact signed submission copy. Use the current form; Annex 3 versus Annex 3.1 is a known implementation inconsistency, not a permanent number."
"Clearance, employability and session survey evidence",Mandatory under C1: clearance and employability evidence. Mandatory in the checked CSIE session notice: satisfaction evidence. Reverify the later session. Authority: C1 and C6.,Mandatory under C2: clearance and employability evidence. Mandatory in the checked CSIE session notice: satisfaction evidence. Reverify the later session. Authority: C2 and C7.,"Retain completed forms or the evidence format required by the current route, including confirmation or screenshot where expressly requested. Do not assume that a questionnaire submission is visible to the secretariat without proof."
Identity and civil-status records,Mandatory in the checked CSIE notice: current identity copy. Conditional: civil-status evidence where the name differs. Reverify quantity and naming instructions. Authority: C6.,Mandatory in the checked CSIE notice: current identity copy. Conditional: residence evidence for an electronic identity card and civil-status evidence where the name differs. Authority: C7.,"Retain only the submission checklist or restricted submitted copy for as long as legitimately required. Never copy identity records into GitHub, Zenodo or the public companion."
Bachelor’s diploma photographs,"Mandatory under the current bachelor’s regulation. The checked notice specifies current size, medium and labelling, all of which must be reverified. Authority: C1 and C6.",Not a universal requirement in the checked master’s regulation and CSIE master’s notice. Do not import the bachelor’s requirement. Authority: C2 and C7.,"Retain a dossier checklist or receipt, not an unnecessary digital image of the photographs. Apply the current official quantity and format."
Registration confirmation,Mandatory control outcome. Incomplete dossiers are not accepted and the secretariat confirms document verification and registration. Authority: C1 and the current faculty route.,Mandatory control outcome. Incomplete dossiers are not accepted and the candidate must verify the registration confirmation. Authority: C2 and the current faculty route.,"Retain the confirmation message, status or equivalent official evidence. Submission evidence alone is not proof of completed registration."
