record_id,provider,tool_or_feature,primary_use,official_source,verified_on,output_status,key_capability,critical_limit,privacy_or_rights_note,verification_required,volatility,next_check,applicable_records
TOOL-001,OpenAI,ChatGPT deep research,"Multi-step research planning, source selection and cited synthesis",https://help.openai.com/en/articles/10500283-deep-research-in-chatgpt,2026-08-19,Candidate research output only,Can conduct multi-step web research and return sources,"Availability, connected sources and behaviour may vary by plan, region and product update",Do not supply confidential material without authority; verify original sources,Verify every load-bearing source and claim in the original,High,Before consequential use and at least monthly during an active review,SEARCH_STRATEGY_RECORD; CORPUS_LEDGER; TRACE_RECORD
TOOL-002,OpenAI,ChatGPT search and connected apps,Web search and retrieval from authorised connected sources,https://openai.com/chatgpt/overview/,2026-08-19,Candidate discovery or transformation,"Can surface web sources and, where enabled, connected content","Source access, app permissions and capabilities are account-dependent",Use least privilege and do not expose restricted content,"Verify source identity, content and permissions independently",High,Before consequential use,CORPUS_LEDGER; TRACE_RECORD; TOOL_USE_DECISION_RECORD
TOOL-003,Anthropic,Claude web search,Web-grounded responses with citations,https://docs.anthropic.com/en/docs/build-with-claude/tool-use/web-search-tool,2026-08-19,Candidate discovery output,Can search the web and cite returned sources,Citation presence does not establish claim fitness or completeness,Do not expose confidential project material without authority,Open and verify the original source,High,Before consequential use,CORPUS_LEDGER; TRACE_RECORD
TOOL-004,Anthropic,Claude Research,Multi-step research across web and authorised sources,https://support.anthropic.com/en/articles/11088861-using-research-on-claude,2026-08-19,Candidate synthesis,Can conduct extended research with cited sources,Availability and connected-source scope may vary,Treat retrieved content according to its access and rights status,Verify original sources and synthesis decisions,High,Before consequential use,SEARCH_STRATEGY_RECORD; SYNTHESIS_MEMO; TRACE_RECORD
TOOL-005,Google,Gemini Notebook (formerly NotebookLM),Source-grounded notebook analysis and synthesis,https://blog.google/innovation-and-ai/products/gemini-notebook/notebooklm-gemini-notebook/,2026-08-19,Candidate analysis grounded in supplied sources,Organises and queries user-selected source sets,Product name and features are volatile; outputs depend on supplied source coverage,Do not upload restricted full texts or confidential data without authority,"Check every quotation, citation and inference against the supplied source",High,Before consequential use,CORE_SOURCE_NOTE; SYNTHESIS_MEMO; TRACE_RECORD
TOOL-006,Elicit,Systematic review workflow,"Search, screening, extraction and review workflow support",https://support.elicit.com/en/articles/10527670-systematic-reviews-in-elicit,2026-08-19,Candidate workflow output,"Supports review-oriented search, screening and extraction","Coverage, full-text availability and extraction quality vary by record and access",Respect source licences and do not treat platform access as redistribution permission,"Verify publication-to-study identity, eligibility and extracted data",High,Before each review update,SEARCH_STRATEGY_RECORD; CORPUS_LEDGER; APPRAISAL_RECORD; TRACE_RECORD
TOOL-007,Perplexity,Web research and cited answers,Web discovery and rapid orientation,https://www.perplexity.ai/help-center/en/articles/10352901-how-does-perplexity-work,2026-08-19,Candidate orientation output,Returns answers linked to source labels,"Source labels do not certify claim-level accuracy, coverage or authority",Do not supply confidential project content without authority,Open and verify the original source and source fit,High,Before consequential use,CORPUS_LEDGER; TRACE_RECORD
TOOL-008,Zotero,Duplicate detection,Identify possible duplicate bibliographic items,https://www.zotero.org/support/duplicate_detection,2026-08-19,Candidate identity-resolution aid,Can identify and merge probable duplicate library records,Duplicate detection does not resolve publication-to-study identity automatically,"Review attached files, rights and retained metadata before merging","Confirm DOI, title, authors, version and study identity",Medium,Before corpus freeze,CORPUS_LEDGER; VERSION_MANIFEST_RECORD
TOOL-009,Zotero,Word processor integration,Insert and update citations and bibliographies,https://www.zotero.org/support/word_processor_integration,2026-08-19,Bibliographic production aid,Maintains linked citations and bibliographies,"Tracked changes, manual edits and field conversion can disrupt links",Retain a controlled library and do not expose private notes in public exports,"Verify citation identity, placement and final bibliography after field updates",Medium,Before Editorial Gate and after major edits,SOURCE_RIGHTS_ATTRIBUTION_RECORD; AUTHORITATIVE_FILE_VERSION_RECORD
TOOL-010,Crossref,REST API,Retrieve DOI metadata and related record information,https://www.crossref.org/documentation/retrieve-metadata/rest-api/,2026-08-19,Metadata candidate,Can retrieve registered metadata for DOI records,"Registered metadata may be incomplete, stale or not equivalent to the full source",Metadata retrieval does not grant content rights,Compare against the publisher or official record for load-bearing sources,Medium,At corpus freeze and final source audit,CORPUS_LEDGER; CORE_SOURCE_NOTE
