field,entry,evidence_or_basis,review_status,guidance
Work-unit identifier,,,,Stable ID.
Authorised commitment,,,,Link to Design Gate record.
Purpose,,,,Decision or evidence produced.
Starting state,,,,"Inputs, versions and environment."
Action,,,,Bounded execution.
Expected candidate output,,,,Object awaiting inspection.
Local verification,,,,Conformance checks.
Failure evidence,,,,What must be retained.
Acceptance criterion,,,,Condition for admission to Execution Dossier.
Disposition options,,,,"Accept locally, repair, repeat, reject, defer or quarantine."
Owner and reviewer,,,,Responsibility.
"Date, version and status",,,,Lifecycle record.
