field,entry,evidence_or_basis,review_status,guidance
Assessed product,,,,"Project, bachelor’s thesis, master’s dissertation or formal evidence synthesis."
Working title,,,,Use the exact current title.
Problem object,,,,"Name the artefact, population, process, case, corpus or study set."
Dominant route,,,,Select one of the eight locked routes.
Secondary component,,,,Name only if it produces distinct evidence.
Integration point,,,,Required for a hybrid route.
Unit of analysis,,,,Name the unit on which observations or interpretations are made.
Primary question form,,,,Write the route-appropriate question.
Core evidence body,,,,Name all evidence required for the principal claim.
Credible comparison or reference,,,,"Baseline, reference case, alternative explanation or protocol basis."
Principal uncertainty,,,,"Sampling, model, measurement, interpretive, numerical or transfer uncertainty."
Forbidden inference,,,,Name the attractive claim not authorised by the design.
Current gate,,,,Name the gate currently being prepared.
Next record,,,,Name the next record and owner.
