source_path,decision,basis,destination_class
companion/00_READ_FIRST/KNOWN_LIMITATIONS.md,include,active v1.1.1 content,private candidate
companion/00_READ_FIRST/LICENSE_AND_RIGHTS.md,include,active v1.1.1 content,private candidate
companion/00_READ_FIRST/MAINTENANCE_AND_UPDATE_POLICY.md,include,active v1.1.1 content,private candidate
companion/00_READ_FIRST/PACKAGE_SUMMARY.json,include,active v1.1.1 content,private candidate
companion/00_READ_FIRST/README.md,include,active v1.1.1 content,private candidate
companion/00_READ_FIRST/RELEASE_STATUS.md,include,active v1.1.1 content,private candidate
companion/00_READ_FIRST/VERSION.txt,include,active v1.1.1 content,private candidate
companion/01_WORKBOOK/COMPANION_WORKBOOK_v1.1.1.docx,include,active v1.1.1 content,private candidate
companion/02_TEMPLATES_MINIMUM/CLAIM_EVIDENCE_MAP_MIN.csv,include,active v1.1.1 content,private candidate
companion/02_TEMPLATES_MINIMUM/CORPUS_LEDGER_MIN.csv,include,active v1.1.1 content,private candidate
companion/02_TEMPLATES_MINIMUM/DECIDE_RECORD_MIN.csv,include,active v1.1.1 content,private candidate
companion/02_TEMPLATES_MINIMUM/DEFENCE_QUESTION_MATRIX_MIN.csv,include,active v1.1.1 content,private candidate
companion/02_TEMPLATES_MINIMUM/DEMONSTRATION_RUNBOOK_MIN.csv,include,active v1.1.1 content,private candidate
companion/02_TEMPLATES_MINIMUM/FEASIBILITY_SPRINT_RECORD_MIN.csv,include,active v1.1.1 content,private candidate
companion/02_TEMPLATES_MINIMUM/GATE_RECORD_MIN.csv,include,active v1.1.1 content,private candidate
companion/02_TEMPLATES_MINIMUM/PROJECT_START_PACK_MIN.csv,include,active v1.1.1 content,private candidate
companion/02_TEMPLATES_MINIMUM/ROUTE_SELECTOR_MIN.csv,include,active v1.1.1 content,private candidate
companion/02_TEMPLATES_MINIMUM/SCOPE_CANVAS_MIN.csv,include,active v1.1.1 content,private candidate
companion/02_TEMPLATES_MINIMUM/TRACE_RECORD_MIN.csv,include,active v1.1.1 content,private candidate
companion/02_TEMPLATES_MINIMUM/VERSION_MANIFEST_RECORD_MIN.csv,include,active v1.1.1 content,private candidate
companion/03_TEMPLATES_FULL/ACCESSIBILITY_RENDER_AUDIT_FULL.csv,include,active v1.1.1 content,private candidate
companion/03_TEMPLATES_FULL/APPRAISAL_RECORD_FULL.csv,include,active v1.1.1 content,private candidate
companion/03_TEMPLATES_FULL/ARGUMENT_SPINE_MAP_FULL.csv,include,active v1.1.1 content,private candidate
companion/03_TEMPLATES_FULL/AUTHORITATIVE_FILE_VERSION_RECORD_FULL.csv,include,active v1.1.1 content,private candidate
companion/03_TEMPLATES_FULL/AUTHORITY_MATRIX_FULL.csv,include,active v1.1.1 content,private candidate
companion/03_TEMPLATES_FULL/AUTHOR_IDENTITY_HEADLINE_RECORD_FULL.csv,include,active v1.1.1 content,private candidate
companion/03_TEMPLATES_FULL/CANDIDATE_ARTEFACT_INSPECTION_RECORD_FULL.csv,include,active v1.1.1 content,private candidate
companion/03_TEMPLATES_FULL/CLAIM_EVIDENCE_MAP_FULL.csv,include,active v1.1.1 content,private candidate
companion/03_TEMPLATES_FULL/CORE_SOURCE_NOTE_FULL.csv,include,active v1.1.1 content,private candidate
companion/03_TEMPLATES_FULL/CORPUS_LEDGER_FULL.csv,include,active v1.1.1 content,private candidate
companion/03_TEMPLATES_FULL/DECIDE_RECORD_FULL.csv,include,active v1.1.1 content,private candidate
